version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9834580543521071,0.9893658920834975,0.9889720362347381,0.9858211894446632,0.9873966128397007,0.9873966128397007,0.9826703426545884,0.9870027569909413,0.9881843245372194,0.9810949192595511,2539,507,5
2,0.9884001933301112,0.986950217496375,0.9898501691638473,0.9893668438859352,0.9893668438859352,0.986950217496375,0.9917834702754954,0.9898501691638473,0.986950217496375,0.9903334944417593,2069,413,5
3,0.9304174950298211,0.9542743538767395,0.9463220675944334,0.9423459244532804,0.9423459244532804,0.9184890656063618,0.9582504970178927,0.9324055666003976,0.9324055666003976,0.9403578528827038,503,100,5
4,0.9863448713877422,0.9863448713877422,0.9914258494760242,0.9888853604318831,0.987297554779295,0.9911082883455065,0.9907907272149888,0.9904731660844712,0.9879326770403303,0.9895204826929184,3149,629,5
5,0.9090909090909091,0.8787878787878788,0.948051948051948,0.9090909090909091,0.9134199134199135,0.9134199134199135,0.935064935064935,0.9264069264069263,0.9177489177489178,0.9264069264069263,231,46,5
7,0.9948647723382403,0.9928106812735364,0.9941800753166724,0.9914412872304006,0.9893871961656967,0.9928106812735364,0.9934953782951044,0.9914412872304006,0.9924683327627525,0.9955494693598083,2921,584,5
8,0.9825282631038027,0.9773895169578622,0.9701952723535457,0.9825282631038027,0.9763617677286742,0.9773895169578622,0.9722507708119219,0.9630010277492291,0.9691675231243576,0.9753340184994861,973,194,5
9,0.981952799629801,0.9805645534474781,0.987505784359093,0.983341045812124,0.984729291994447,0.984729291994447,0.979176307265155,0.983341045812124,0.984266543267006,0.983803794539565,2161,432,5
10,0.9833698030634573,0.9859956236323851,0.9816192560175054,0.9829321663019693,0.9816192560175054,0.9859956236323851,0.9859956236323851,0.9859956236323851,0.9820568927789934,0.9859956236323851,2285,457,5
12,0.9803429527394396,0.9811794228356336,0.9841070681723129,0.986198243412798,0.9828523630280217,0.9836888331242158,0.9845253032204099,0.9836888331242158,0.9836888331242158,0.9807611877875366,2391,478,5
15,0.9891721969961579,0.9874257771568286,0.9884736290604261,0.9881243450925603,0.9898707649318896,0.9884736290604261,0.9874257771568286,0.9902200488997555,0.988822913028292,0.9874257771568286,2863,572,5
16,0.9873684210526316,0.988421052631579,0.9908771929824561,0.9880701754385965,0.9873684210526316,0.9866666666666667,0.9894736842105263,0.9887719298245614,0.9898245614035087,0.987719298245614,2850,570,5
17,0.9850746268656716,0.9867330016583747,0.9859038142620232,0.9867330016583747,0.9834162520729685,0.9834162520729685,0.9850746268656716,0.9917081260364843,0.9859038142620232,0.9842454394693201,1206,241,5
