Method;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL
Metric;p-value;d;Magn.;p-value;d;Magn.;p-value;d;Magn.
Chart;9.5367431640625e-07;-0.5691609977324263;large;9.5367431640625e-07;-0.4988662131519274;large;8.757494073814436e-05;-0.3401360544217687;medium
Lang;7.43316766961694e-12;-0.4641420118343195;medium;2.404462073797288e-12;-0.5879289940828403;large;3.4356564800267345e-12;-0.3472189349112426;medium
Math;1.179960872940353e-16;-0.4087;medium;3.896340037647931e-18;-0.6312;large;1.7709629663901153e-17;-0.3015;small
Mockito;2.466745716181337e-07;-0.3330898466033601;medium;1.4551915228366852e-11;-0.872899926953981;large;1.4551915228366852e-11;-0.5259313367421475;large
Time;0.015625;-0.3877551020408163;medium;0.015625;-0.6326530612244898;large;0.015625;-0.3877551020408163;medium
Total;3.3261188401899042e-37;-0.4079584120982987;medium;1.743464503816407e-39;-0.5891682419659735;large;1.6481225066185604e-38;-0.33389413988657846;medium
