Method;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
Metric;p-value;d;Magn.;p-value;d;Magn.;p-value;d;Magn.
Chart;8.745059215649785e-05;-0.48299319727891155;large;9.5367431640625e-07;-0.5396825396825397;large;9.5367431640625e-07;-0.4036281179138322;medium
Lang;5.041853799220802e-12;-0.4276923076923077;medium;2.4041406551319205e-12;-0.5268639053254438;large;2.3658563968907385e-12;-0.3711242603550296;medium
Math;1.715820679727851e-16;-0.3689;medium;3.896120241954008e-18;-0.6375;large;1.766197339977637e-17;-0.3154;small
Mockito;3.6207583197915065e-07;-0.2870708546384222;small;1.4551915228366852e-11;-0.7779401022644266;large;1.4551915228366852e-11;-0.42074506939371803;medium
Time;0.027707849358079864;-0.30612244897959184;small;0.015625;-0.7551020408163265;large;0.015625;-0.3877551020408163;medium
Total;1.0232147701717636e-36;-0.36283553875236296;medium;1.743297435704943e-39;-0.5950283553875236;large;7.740399986944604e-39;-0.337523629489603;medium
