version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt
1,0.9996431120628123,0.9989293361884368,0.9982155603140613,0.9996431120628123,0.9996431120628123,0.9982155603140613,0.9996431120628123,0.9985724482512491,0.997501784439686,0.9996431120628123,2802
2,0.9985714285714286,0.9992857142857143,0.9992857142857143,0.9992857142857143,0.9878571428571429,0.9978571428571429,0.9992857142857143,0.9992857142857143,0.9992857142857143,0.9992857142857143,1400
3,0.9997016706443914,0.9991050119331742,0.9988066825775657,0.9991050119331742,0.9967183770883055,0.9997016706443914,0.9997016706443914,0.9997016706443914,0.9997016706443914,0.9997016706443914,3352
4,0.9995483288166215,0.9932249322493225,0.999096657633243,0.9986449864498645,0.9995483288166215,0.999096657633243,0.997289972899729,0.997289972899729,0.9968383017163505,0.997289972899729,2214
5,0.9997648165569144,0.998824082784572,0.9997648165569144,0.9995296331138288,0.9995296331138288,0.9997648165569144,0.9997648165569144,0.9997648165569144,0.9997648165569144,0.9995296331138288,4252
6,0.9976,0.9992,0.9996,0.9972,0.9996,0.9996,0.9956,0.9996,0.996,0.9996,2500
7,0.9994669509594882,0.9994669509594882,0.9973347547974414,0.9461620469083156,0.9994669509594882,0.9632196162046909,0.997867803837953,0.997867803837953,0.997867803837953,0.9989339019189766,1876
8,0.9948186528497409,0.9585492227979274,0.9948186528497409,0.9844559585492227,0.9844559585492227,0.9948186528497409,0.9948186528497409,0.927461139896373,0.9948186528497409,0.9948186528497409,193
9,0.9986772486772487,0.9991181657848325,0.9995590828924162,0.9991181657848325,0.9995590828924162,0.9986772486772487,0.9969135802469136,0.9995590828924162,0.9986772486772487,0.9995590828924162,2268
10,0.9994444444444445,0.9994444444444445,0.9988888888888889,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9994444444444445,0.9983333333333333,0.9994444444444445,0.9988888888888889,1800
11,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9947534102833159,0.9979013641133263,0.9979013641133263,0.9989506820566632,0.9979013641133263,0.9989506820566632,953
12,0.9993610223642172,0.9993610223642172,0.9993610223642172,0.9993610223642172,0.9993610223642172,0.9987220447284345,0.9993610223642172,0.994888178913738,0.9993610223642172,0.9993610223642172,1565
13,0.9993834771886559,0.9969173859432799,0.9975339087546239,0.9993834771886559,0.9975339087546239,0.9993834771886559,0.9993834771886559,0.9975339087546239,0.9993834771886559,0.9993834771886559,1622
14,0.9993050729673384,0.995135510771369,0.9979152189020153,0.9993050729673384,0.9958304378040306,0.9986101459346769,0.9993050729673384,0.9993050729673384,0.9993050729673384,0.9993050729673384,1439
15,0.999195494770716,0.999195494770716,0.999195494770716,0.999195494770716,0.999195494770716,0.996781979082864,0.999195494770716,0.996781979082864,0.9855189058728882,0.999195494770716,1243
