version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt
2,0.9992469879518072,0.9992469879518072,0.9510542168674698,0.9977409638554217,0.9984939759036144,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9984939759036144,0.9977409638554217,1328
3,0.9988095238095238,0.9488095238095238,0.9,0.9988095238095238,0.95,0.95,0.9,0.9940476190476191,0.9,0.8928571428571429,840
5,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9929577464788732,0.9964788732394366,0.9964788732394366,0.9964788732394366,284
6,0.9896449704142012,0.9985207100591716,0.9970414201183432,0.992603550295858,0.9985207100591716,0.9940828402366864,0.9970414201183432,0.9511834319526628,0.9985207100591716,0.9985207100591716,676
7,0.9521829521829521,0.9002079002079002,0.997920997920998,0.9937629937629937,0.8898128898128899,0.997920997920998,0.997920997920998,0.997920997920998,0.9958419958419958,0.997920997920998,481
8,0.9897435897435898,0.9948717948717949,0.9948717948717949,0.9743589743589743,0.9897435897435898,0.9794871794871794,0.9948717948717949,0.9897435897435898,0.9948717948717949,0.9948717948717949,195
9,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9979013641133263,0.9989506820566632,0.9989506820566632,0.9779643231899265,0.9989506820566632,953
10,0.9811320754716981,0.9433962264150944,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9622641509433962,0.9433962264150944,0.9811320754716981,0.9622641509433962,0.9245283018867925,53
11,0.9948186528497409,0.9948186528497409,0.9896373056994818,0.9533678756476685,0.9585492227979274,0.9948186528497409,0.9844559585492227,0.9948186528497409,0.9948186528497409,0.9844559585492227,193
12,0.9988534739738592,0.9993120843843155,0.9997706947947719,0.9993120843843155,0.9502407704654896,0.9502407704654896,0.9997706947947719,0.9997706947947719,0.9993120843843155,0.9997706947947719,4361
13,0.9988713318284425,0.9988713318284425,0.9954853273137697,0.9954853273137697,0.9988713318284425,0.9943566591422122,0.9988713318284425,0.9988713318284425,0.9988713318284425,0.9977426636568849,886
14,0.9995249406175772,0.9993665874901029,0.9996832937450515,0.9993665874901029,0.9995249406175772,0.9984164687252574,0.9496437054631829,0.9985748218527316,0.9993665874901029,0.9996832937450515,6315
16,0.7516778523489933,0.9899328859060402,0.9865771812080537,0.9966442953020134,0.9899328859060402,0.9966442953020134,0.9966442953020134,0.9899328859060402,0.9932885906040269,0.9932885906040269,298
17,0.9962756052141527,0.9962756052141527,0.9990689013035382,0.8519553072625698,0.9972067039106145,0.9972067039106145,0.9981378026070763,0.9990689013035382,0.9972067039106145,0.9972067039106145,1074
18,0.9897959183673469,0.9923469387755102,0.9974489795918368,0.9974489795918368,0.9974489795918368,0.9974489795918368,0.9872448979591837,0.8494897959183674,0.903061224489796,0.903061224489796,392
19,0.9982194524816381,0.9997774315602047,0.9997774315602047,0.9997774315602047,0.9991097262408191,0.9997774315602047,0.9997774315602047,0.9993322946806142,0.9997774315602047,0.9997774315602047,4493
20,0.9903288201160542,0.9980657640232108,0.9961315280464217,0.9980657640232108,0.9961315280464217,0.9980657640232108,0.9922630560928434,0.9941972920696325,0.9980657640232108,0.9980657640232108,517
21,0.9983193277310924,0.9512605042016806,0.9983193277310924,0.9983193277310924,0.9966386554621849,0.9966386554621849,0.9983193277310924,0.9966386554621849,0.9025210084033614,0.9932773109243698,595
22,0.9959349593495935,0.9959349593495935,0.983739837398374,0.991869918699187,0.9959349593495935,0.9959349593495935,0.9959349593495935,0.9959349593495935,0.9512195121951219,0.991869918699187,246
23,0.9997851772287862,0.9997851772287862,0.9997851772287862,0.9997851772287862,0.9997851772287862,0.9995703544575725,0.9997851772287862,0.9997851772287862,0.9991407089151451,0.9997851772287862,4655
24,0.88,0.96,0.84,0.96,0.96,0.96,0.96,0.96,0.96,0.96,25
