version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9450392576730906,0.9450392576730906,0.9461099214846538,0.939329050678087,0.9403997144896502,0.9411134903640257,0.9450392576730906,0.943254817987152,0.943254817987152,0.9489650249821556,2802,56,50
2,0.9114285714285715,0.9185714285714286,0.9221428571428572,0.9185714285714286,0.9192857142857143,0.915,0.9057142857142857,0.9235714285714286,0.9171428571428571,0.9214285714285715,1400,28,50
3,0.9448090692124105,0.948090692124105,0.9468973747016707,0.948090692124105,0.9385441527446301,0.9448090692124105,0.9442124105011933,0.9448090692124105,0.9382458233890215,0.9448090692124105,3352,67,50
4,0.9214092140921409,0.9214092140921409,0.9236675700090334,0.9245709123757904,0.9245709123757904,0.9205058717253839,0.9236675700090334,0.9191508581752484,0.928635953026197,0.9209575429087624,2214,44,50
5,0.9762464722483537,0.9767168391345249,0.9715428033866416,0.981420507996237,0.9804797742238947,0.9741298212605832,0.973659454374412,0.9771872060206961,0.9774223894637818,0.9767168391345249,4252,85,50
6,0.9192,0.912,0.918,0.918,0.9108,0.902,0.9068,0.916,0.914,0.9072,2500,50,50
7,0.9392324093816631,0.935501066098081,0.9376332622601279,0.94136460554371,0.9381663113006397,0.9392324093816631,0.9397654584221748,0.9402985074626866,0.9424307036247335,0.9333688699360341,1876,37,50
8,0.6632124352331606,0.5803108808290156,0.5233160621761659,0.5492227979274611,0.5647668393782384,0.6217616580310881,0.538860103626943,0.5544041450777202,0.5284974093264249,0.5906735751295337,193,3,50
9,0.9387125220458554,0.9378306878306878,0.9329805996472663,0.935626102292769,0.9360670194003528,0.9404761904761905,0.939594356261023,0.9343033509700176,0.9360670194003528,0.9351851851851852,2268,45,50
10,0.9127777777777778,0.9316666666666666,0.9288888888888889,0.9066666666666666,0.9205555555555556,0.9177777777777778,0.9183333333333333,0.915,0.9172222222222222,0.9283333333333333,1800,36,50
11,0.8730325288562435,0.8677859391395593,0.8803777544596012,0.8719832109129066,0.863588667366212,0.8614900314795383,0.8803777544596012,0.8709338929695698,0.8688352570828961,0.8751311647429171,953,19,50
12,0.9277955271565496,0.9329073482428115,0.9437699680511182,0.9399361022364218,0.9412140575079873,0.9373801916932907,0.9412140575079873,0.9252396166134185,0.9437699680511182,0.9335463258785942,1565,31,50
13,0.9155363748458692,0.905055487053021,0.9099876695437731,0.9155363748458692,0.9217016029593095,0.9204685573366215,0.9130702836004932,0.9161528976572133,0.9136868064118372,0.9136868064118372,1622,32,50
14,0.9173036831132731,0.9159138290479499,0.9117442668519805,0.9117442668519805,0.9193884642112579,0.901320361362057,0.9034051424600417,0.9020152883947186,0.9166087560806115,0.9075747046560111,1439,28,50
15,0.9010458567980691,0.8857602574416734,0.9026548672566371,0.9082864038616251,0.8994368463395012,0.8930008045052293,0.9058728881737731,0.9002413515687852,0.8978278358809332,0.8938053097345133,1243,24,50
16,0.8858560794044665,0.9040529363110008,0.8941273779983457,0.8899917287014061,0.8899917287014061,0.8850289495450786,0.8982630272952854,0.8941273779983457,0.8858560794044665,0.8899917287014061,1209,24,50
17,0.8953033268101761,0.8825831702544031,0.8943248532289628,0.898238747553816,0.8816046966731899,0.8894324853228963,0.8953033268101761,0.8943248532289628,0.8972602739726028,0.9021526418786693,1022,20,50
18,0.8677766895200784,0.8648383937316356,0.8824681684622919,0.8697355533790402,0.8824681684622919,0.8795298726738492,0.8726738491674828,0.8697355533790402,0.8746327130264446,0.8746327130264446,1021,20,50
20,0.9113762249680443,0.9062633148700469,0.9135066041755433,0.9105240732850447,0.907967618236046,0.916063059224542,0.9105240732850447,0.9156369833830422,0.9181934384320409,0.9109501491265445,2347,46,50
21,0.9212765957446809,0.9297872340425531,0.9223404255319149,0.9223404255319149,0.9202127659574468,0.9234042553191489,0.9180851063829787,0.926595744680851,0.926595744680851,0.9063829787234042,940,18,50
22,0.8947368421052632,0.8807733619763695,0.9001074113856069,0.9129967776584318,0.8990332975295381,0.8947368421052632,0.878625134264232,0.8979591836734694,0.9011815252416756,0.8861439312567132,931,18,50
23,0.9257142857142857,0.9231168831168831,0.9335064935064935,0.921038961038961,0.9246753246753247,0.9272727272727272,0.9168831168831169,0.9371428571428572,0.9215584415584416,0.934025974025974,1925,38,50
24,0.9463759575721862,0.9519740718915733,0.9513847967000589,0.9499116087212729,0.9540365350618739,0.9549204478491455,0.9531526222746023,0.9531526222746023,0.952857984678845,0.9534472598703595,3394,67,50
25,0.9496359223300971,0.9487257281553398,0.9456917475728155,0.9484223300970874,0.945995145631068,0.9432645631067961,0.9384101941747572,0.9481189320388349,0.9414441747572816,0.941747572815534,3296,65,50
26,0.92749343832021,0.9304461942257218,0.9320866141732284,0.9301181102362205,0.9291338582677166,0.9301181102362205,0.9386482939632546,0.9356955380577427,0.9320866141732284,0.92749343832021,3048,60,50
27,0.9054857898215466,0.900198281559815,0.898876404494382,0.8995373430270985,0.900198281559815,0.8942498347653668,0.8883013879709187,0.9028420356906808,0.8929279576999339,0.9041639127561136,1513,30,50
