version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9925053533190579,0.9950035688793719,0.9953604568165596,0.9942897930049964,0.9953604568165596,0.9946466809421841,0.9932191291934332,0.9950035688793719,0.9939329050678087,0.9946466809421841,2802,280,10
2,0.9864285714285714,0.9892857142857143,0.9921428571428571,0.9935714285714285,0.99,0.9907142857142857,0.99,0.9864285714285714,0.9871428571428571,0.9907142857142857,1400,140,10
3,0.9955250596658711,0.9967183770883055,0.9955250596658711,0.9964200477326969,0.9958233890214797,0.9958233890214797,0.9955250596658711,0.9958233890214797,0.9943317422434368,0.9958233890214797,3352,335,10
4,0.9941282746160794,0.994579945799458,0.993676603432701,0.992773261065944,0.994579945799458,0.992773261065944,0.9914182475158085,0.993676603432701,0.9914182475158085,0.9923215898825655,2214,221,10
5,0.9981185324553151,0.996472248353716,0.9960018814675446,0.9936500470366886,0.9967074317968015,0.996472248353716,0.9971777986829727,0.9971777986829727,0.995766698024459,0.9967074317968015,4252,425,10
6,0.9944,0.996,0.9948,0.9956,0.9956,0.9924,0.9944,0.994,0.9944,0.9892,2500,250,10
7,0.9893390191897654,0.990405117270789,0.9877398720682303,0.9877398720682303,0.9898720682302772,0.9877398720682303,0.990405117270789,0.9877398720682303,0.9893390191897654,0.9925373134328358,1876,187,10
8,0.8911917098445596,0.9015544041450777,0.8860103626943006,0.8911917098445596,0.8860103626943006,0.8963730569948186,0.9430051813471503,0.8911917098445596,0.9067357512953368,0.8756476683937824,193,19,10
9,0.9929453262786596,0.9911816578483246,0.9925044091710759,0.9942680776014109,0.9916225749559083,0.9925044091710759,0.9920634920634921,0.9942680776014109,0.9920634920634921,0.9907407407407407,2268,226,10
10,0.9933333333333333,0.9922222222222222,0.9927777777777778,0.99,0.9911111111111112,0.9916666666666667,0.9872222222222222,0.99,0.9911111111111112,0.9888888888888889,1800,180,10
11,0.9832109129066107,0.9790136411332634,0.9863588667366212,0.9821615949632738,0.9811122770199371,0.9853095487932844,0.9853095487932844,0.9832109129066107,0.9821615949632738,0.9842602308499475,953,95,10
12,0.9853035143769968,0.9859424920127795,0.9801916932907349,0.9853035143769968,0.9808306709265175,0.9827476038338658,0.979552715654952,0.982108626198083,0.9808306709265175,0.9840255591054313,1565,156,10
13,0.9919852034525277,0.9889025893958077,0.9858199753390875,0.9858199753390875,0.9932182490752158,0.9907521578298397,0.9895191122071517,0.9901356350184957,0.9845869297163995,0.9889025893958077,1622,162,10
14,0.9888811674774148,0.990271021542738,0.9881862404447533,0.9909659485753995,0.9881862404447533,0.9895760945100764,0.9909659485753995,0.9867963863794301,0.9888811674774148,0.9909659485753995,1439,143,10
15,0.9895414320193081,0.9871279163314561,0.9871279163314561,0.9823008849557522,0.9855189058728882,0.9831053901850362,0.9823008849557522,0.9855189058728882,0.9887369267900241,0.9887369267900241,1243,124,10
16,0.9875930521091811,0.9867659222497932,0.9875930521091811,0.9851116625310173,0.9859387923904053,0.9900744416873449,0.9884201819685691,0.9859387923904053,0.9867659222497932,0.9867659222497932,1209,120,10
17,0.9765166340508806,0.9745596868884541,0.9863013698630136,0.9823874755381605,0.9804305283757339,0.9794520547945206,0.9843444227005871,0.9823874755381605,0.9804305283757339,0.9843444227005871,1022,102,10
