version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.976891969959561,0.975736568457539,0.975158867706528,0.9797804737146159,0.9780473714615829,0.974581166955517,0.975736568457539,0.9728480647024841,0.976891969959561,0.975736568457539,1731,173,10
2,0.7956989247311828,0.7956989247311828,0.7849462365591398,0.7741935483870968,0.7634408602150538,0.7849462365591398,0.7311827956989247,0.7849462365591398,0.8064516129032258,0.7849462365591398,93,9,10
3,0.9762042948345908,0.9773650609402206,0.9727219965177016,0.9767846778874056,0.9785258270458502,0.9791062100986652,0.9767846778874056,0.9738827626233314,0.9750435287289612,0.9744631456761462,1723,172,10
4,0.7936507936507937,0.746031746031746,0.7142857142857143,0.7142857142857143,0.7301587301587302,0.6349206349206349,0.6984126984126984,0.5873015873015873,0.746031746031746,0.746031746031746,63,6,10
5,0.7974683544303798,0.7721518987341772,0.8227848101265822,0.7974683544303798,0.8227848101265822,0.7848101265822784,0.7848101265822784,0.7721518987341772,0.8227848101265822,0.8481012658227848,79,7,10
6,0.9882854100106496,0.9911253106141285,0.9921902733404331,0.9932552360667377,0.9904153354632588,0.9946751863684771,0.9921902733404331,0.9911253106141285,0.9907703230386936,0.9929002484913028,2817,281,10
7,0.9880887926367081,0.989713048186248,0.989713048186248,0.9853817000541418,0.9864645370871684,0.9886302111532215,0.9924201407688142,0.989713048186248,0.9880887926367081,0.9913373037357878,1847,184,10
8,0.9635258358662614,0.9559270516717325,0.9604863221884499,0.958966565349544,0.9559270516717325,0.9650455927051672,0.9574468085106383,0.9559270516717325,0.9559270516717325,0.9620060790273556,658,65,10
9,0.9596541786743515,0.9654178674351584,0.9510086455331412,0.9553314121037464,0.9553314121037464,0.9438040345821326,0.9553314121037464,0.9582132564841499,0.9481268011527377,0.9567723342939481,694,69,10
10,0.9442857142857143,0.9557142857142857,0.9614285714285714,0.94,0.9585714285714286,0.9457142857142857,0.9414285714285714,0.96,0.9557142857142857,0.9457142857142857,700,70,10
11,0.5636363636363637,0.7272727272727273,0.6909090909090909,0.6181818181818182,0.6727272727272727,0.6727272727272727,0.509090909090909,0.6909090909090909,0.6181818181818182,0.6727272727272727,55,5,10
12,0.5882352941176471,0.5882352941176471,0.5686274509803921,0.607843137254902,0.6666666666666667,0.607843137254902,0.5686274509803921,0.5882352941176471,0.43137254901960786,0.607843137254902,51,5,10
13,0.7857142857142857,0.7857142857142857,0.7428571428571429,0.7571428571428571,0.8,0.8714285714285714,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7857142857142857,70,7,10
14,0.9854961832061069,0.9885496183206107,0.9870229007633587,0.9885496183206107,0.9916030534351145,0.9908396946564886,0.9900763358778626,0.9870229007633587,0.9870229007633587,0.9870229007633587,1310,131,10
15,0.9894155545329039,0.99033594109526,0.9912563276576162,0.9880349746893695,0.9884951679705476,0.9875747814081914,0.9852738150023009,0.9889553612517257,0.9917165209387943,0.9921767142199724,2173,217,10
16,0.9815229563269877,0.9843225083986562,0.9815229563269877,0.9854423292273237,0.9820828667413214,0.9854423292273237,0.986562150055991,0.9820828667413214,0.9804031354983203,0.9843225083986562,1786,178,10
