train;mean;mean;mean;std;std;std;min;min;min;max;max;max
model;MLP-FL;CNN-FL;RNN-FL;MLP-FL;CNN-FL;RNN-FL;MLP-FL;CNN-FL;RNN-FL;MLP-FL;CNN-FL;RNN-FL
program;;;;;;;;;;;;
Chart;150.9047619047619;648.3000000000001;235.8666666666667;100.58125983962938;279.8596094928864;32.085870904431836;49.23809523809524;296.57142857142856;195.1904761904762;279.7142857142857;966.4047619047619;272.04761904761904
Lang;90.2292307692308;327.94153846153847;96.23076923076921;58.47147199988365;173.11816688288005;13.58807020162275;24.123076923076923;137.12307692307692;82.49230769230769;165.7923076923077;543.3692307692307;115.84615384615384
Math;164.73000000000005;861.9630000000001;258.9759999999999;94.24035414223971;449.97780046275363;83.04336478220895;68.45;333.375;174.61;293.99;1419.88;373.02
Mockito;288.0675675675676;569.9567567567568;313.3702702702702;95.87325926366331;298.4004948052525;129.75406322834908;191.67567567567568;224.63513513513513;167.54054054054055;422.7567567567568;960.472972972973;490.56756756756755
Time;1095.542857142857;2107.0142857142855;320.74285714285713;403.4590189028386;784.4674701609218;188.4841031454349;504.5;1164.857142857143;100.71428571428571;1472.857142857143;3012.5714285714284;598.1428571428571
Total;190.58347826086955;682.4534782608694;221.503043478261;94.38439685184365;341.99827518232166;69.4854495295061;87.26304347826087;282.3652173913043;147.0695652173913;313.05;1105.3347826086956;316.88260869565215
Diff;-260.28478260869576;-8.839565217391282;-454.9934782608701;-159.43318145906477;-31.561461434822434;-177.2689177595349;-90.43913043478261;22.710869565217365;-249.7173913043478;-464.95652173913044;-40.4717391304348;-676.2869565217391
Diff %;-57.72967520638923;-1.2787001548452965;-67.25732707260298;-62.81408187724906;-8.448839192530354;-71.84023517277292;-50.89365450252621;8.746577808290274;-62.93487908306944;-59.76254809532724;-3.532161701174986;-68.09380595283436
