version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9740034662045061,0.9682264586943963,0.9722703639514731,0.9728480647024841,0.9711149624494512,0.9670710571923744,0.9722703639514731,0.9659156556903524,0.9699595609474292,0.9740034662045061,1731,173,10
2,0.7096774193548387,0.7311827956989247,0.7419354838709677,0.7526881720430108,0.7634408602150538,0.7204301075268817,0.6989247311827957,0.7204301075268817,0.7419354838709677,0.7096774193548387,93,9,10
3,0.9616947185142194,0.9651770168311086,0.955310504933256,0.9645966337782936,0.9616947185142194,0.963435867672664,0.9611143354614046,0.971561230412072,0.9628554846198492,0.9686593151479976,1723,172,10
4,0.6507936507936508,0.7777777777777778,0.7301587301587302,0.6349206349206349,0.7619047619047619,0.6825396825396826,0.5714285714285714,0.5873015873015873,0.7301587301587302,0.7142857142857143,63,6,10
5,0.7088607594936709,0.6708860759493671,0.7215189873417722,0.7341772151898734,0.6708860759493671,0.7215189873417722,0.759493670886076,0.7215189873417722,0.7341772151898734,0.7088607594936709,79,7,10
6,0.982250621228257,0.9840255591054313,0.9833155839545615,0.9858004969826056,0.9854455094071708,0.9861554845580405,0.9843805466808662,0.9826056088036919,0.9861554845580405,0.9886403975860845,2817,281,10
7,0.9886302111532215,0.9853817000541418,0.9870059556036817,0.9891716296697347,0.983757444504602,0.9864645370871684,0.9848402815376286,0.9842988630211154,0.9826746074715755,0.9832160259880888,1847,184,10
8,0.9468085106382979,0.9650455927051672,0.9407294832826748,0.9620060790273556,0.958966565349544,0.9680851063829787,0.9483282674772037,0.9559270516717325,0.9559270516717325,0.9468085106382979,658,65,10
9,0.930835734870317,0.9452449567723343,0.9409221902017291,0.9452449567723343,0.9423631123919308,0.9452449567723343,0.9438040345821326,0.9538904899135446,0.9365994236311239,0.9538904899135446,694,69,10
10,0.95,0.9485714285714286,0.9528571428571428,0.9428571428571428,0.94,0.9542857142857143,0.9442857142857143,0.9299999999999999,0.9457142857142857,0.9557142857142857,700,70,10
11,0.4363636363636364,0.6181818181818182,0.509090909090909,0.5636363636363637,0.5454545454545454,0.5454545454545454,0.5818181818181818,0.6909090909090909,0.6181818181818182,0.5272727272727273,55,5,10
12,0.47058823529411764,0.607843137254902,0.5686274509803921,0.5098039215686274,0.5098039215686274,0.5294117647058824,0.5490196078431373,0.5294117647058824,0.607843137254902,0.4509803921568627,51,5,10
13,0.5428571428571429,0.6,0.6714285714285715,0.5714285714285714,0.6142857142857143,0.7,0.6857142857142857,0.5857142857142856,0.6857142857142857,0.6285714285714286,70,7,10
14,0.982442748091603,0.9847328244274809,0.9778625954198473,0.9786259541984733,0.982442748091603,0.9778625954198473,0.9801526717557252,0.9847328244274809,0.9809160305343512,0.9786259541984733,1310,131,10
15,0.98067188219052,0.9797514956281639,0.9825126553152324,0.9815922687528762,0.9783709157846295,0.9765301426599171,0.9820524620340543,0.9797514956281639,0.9829728485964105,0.9779107225034515,2173,217,10
16,0.9748040313549832,0.9725643896976484,0.9781634938409854,0.9764837625979843,0.9748040313549832,0.9776035834266518,0.9792833146696529,0.9742441209406495,0.977043673012318,0.977043673012318,1786,178,10
17,0.9593625498007968,0.9689243027888447,0.9649402390438246,0.9649402390438246,0.9657370517928286,0.9641434262948207,0.9657370517928286,0.9633466135458167,0.9665338645418327,0.9625498007968127,1255,125,10
18,0.9613899613899614,0.9652509652509652,0.9498069498069498,0.9555984555984556,0.944015444015444,0.9498069498069498,0.9555984555984556,0.971042471042471,0.9517374517374517,0.9478764478764479,518,51,10
19,0.6349206349206349,0.6190476190476191,0.6031746031746033,0.4920634920634921,0.6031746031746033,0.5555555555555556,0.5238095238095238,0.6190476190476191,0.6190476190476191,0.5396825396825398,63,6,10
20,0.9625876851130164,0.9672642244738894,0.9602494154325799,0.9664848012470771,0.9672642244738894,0.9602494154325799,0.9680436477007015,0.9633671083398285,0.9602494154325799,0.9672642244738894,1283,128,10
21,0.9290322580645162,0.9064516129032258,0.9193548387096774,0.9032258064516129,0.932258064516129,0.9032258064516129,0.9,0.9096774193548387,0.9290322580645162,0.8935483870967742,310,31,10
22,0.8888888888888888,0.9042145593869731,0.9042145593869731,0.896551724137931,0.9080459770114943,0.89272030651341,0.9042145593869731,0.89272030651341,0.8773946360153256,0.8773946360153256,261,26,10
23,0.9400479616306955,0.9496402877697842,0.9304556354916067,0.9424460431654677,0.9496402877697842,0.9448441247002398,0.9544364508393285,0.9376498800959232,0.9280575539568345,0.9304556354916067,417,41,10
24,0.9830827067669173,0.9855889724310777,0.9843358395989975,0.981829573934837,0.981203007518797,0.9824561403508771,0.9868421052631579,0.9837092731829574,0.9868421052631579,0.981829573934837,1596,159,10
25,0.6923076923076923,0.46153846153846156,0.6153846153846154,0.46153846153846156,0.3846153846153846,0.3076923076923077,0.46153846153846156,0.3846153846153846,0.46153846153846156,0.3076923076923077,26,2,10
26,0.9252747252747253,0.9186813186813186,0.9428571428571428,0.9406593406593406,0.945054945054945,0.9318681318681319,0.9274725274725275,0.9208791208791209,0.9384615384615385,0.9274725274725275,455,45,10
27,0.9866434378629501,0.9814169570267132,0.9854819976771196,0.9878048780487805,0.9912891986062717,0.9854819976771196,0.9866434378629501,0.9854819976771196,0.9872241579558653,0.991869918699187,1722,172,10
28,0.6071428571428572,0.6607142857142857,0.6607142857142857,0.6071428571428572,0.6428571428571428,0.5714285714285714,0.6607142857142857,0.6428571428571428,0.6785714285714286,0.6071428571428572,56,5,10
29,0.9811482433590403,0.976006855184233,0.9785775492716366,0.9734361610968295,0.9794344473007712,0.9734361610968295,0.9854327335047129,0.9794344473007712,0.9751499571550986,0.9768637532133676,1167,116,10
30,0.9623241034952338,0.9668633681343622,0.9632319564230595,0.9664094416704494,0.9636858828869723,0.9664094416704494,0.9636858828869723,0.9650476622787109,0.9655015887426237,0.9600544711756696,2203,220,10
31,0.9803832116788321,0.9840328467153284,0.9803832116788321,0.9799270072992701,0.9812956204379562,0.9826642335766423,0.9863138686131386,0.9840328467153284,0.9817518248175182,0.9822080291970803,2192,219,10
32,0.9687756778964667,0.9745275267050123,0.9704190632703369,0.9671322925225966,0.9695973705834018,0.9695973705834018,0.971240755957272,0.971240755957272,0.9728841413311422,0.9654889071487264,1217,121,10
33,0.9789631855747558,0.9819684447783621,0.9849737039819685,0.9849737039819685,0.9752066115702479,0.9842223891810669,0.9812171299774606,0.98572501878287,0.98572501878287,0.9812171299774606,1331,133,10
34,0.9523269012485811,0.938706015891033,0.9580022701475596,0.9489216799091941,0.9489216799091941,0.9375709421112373,0.9466515323496028,0.9489216799091941,0.9557321225879682,0.9511918274687855,881,88,10
35,0.9657676348547718,0.9636929460580913,0.9730290456431535,0.9678423236514523,0.9657676348547718,0.9730290456431535,0.975103734439834,0.9647302904564315,0.9688796680497925,0.9647302904564315,964,96,10
36,0.9847001223990208,0.9822521419828641,0.9810281517747858,0.9773561811505508,0.9761321909424725,0.97796817625459,0.9822521419828641,0.9798041615667075,0.9791921664626683,0.9865361077111383,1634,163,10
37,0.9674027339642481,0.9768664563617245,0.9705573080967402,0.9663512092534174,0.9716088328075709,0.9695057833859095,0.9674027339642481,0.964248159831756,0.9758149316508938,0.9705573080967402,951,95,10
38,0.9495327102803738,0.9271028037383178,0.9327102803738317,0.9327102803738317,0.9364485981308411,0.9401869158878504,0.9383177570093458,0.9420560747663551,0.9439252336448598,0.9457943925233645,535,53,10
39,0.9766397124887691,0.9766397124887691,0.9703504043126685,0.9784366576819407,0.9703504043126685,0.977538185085355,0.9802336028751123,0.977538185085355,0.9802336028751123,0.9757412398921833,1113,111,10
40,0.9759926131117267,0.9722991689750693,0.974145891043398,0.9722991689750693,0.974145891043398,0.9750692520775623,0.9732225300092336,0.976915974145891,0.9750692520775623,0.9750692520775623,1083,108,10
41,0.8627450980392157,0.8823529411764706,0.8745098039215686,0.8941176470588236,0.8705882352941177,0.8941176470588236,0.8784313725490196,0.8941176470588236,0.8705882352941177,0.8862745098039215,255,25,10
