;;1;3;5;10;Other
min;MLP-FL;57;98;120;146;84
min;CNN-FL;7;19;26;31;199
min;RNN-FL;29;53;74;102;128
mean;MLP-FL;11;48;73;107;123
mean;CNN-FL;0;0;0;2;228
mean;RNN-FL;4;23;35;68;162
max;MLP-FL;11;38;56;80;150
max;CNN-FL;0;0;0;0;230
max;RNN-FL;4;15;24;50;180
