;;1;3;5;10;Other
min;MLP-FLS;59;102;121;147;83
min;CNN-FLS;2;9;17;29;201
min;RNN-FLS;37;68;83;109;121
mean;MLP-FLS;10;52;70;112;118
mean;CNN-FLS;0;0;0;1;229
mean;RNN-FLS;3;31;44;75;155
max;MLP-FLS;10;41;60;84;146
max;CNN-FLS;0;0;0;0;230
max;RNN-FLS;3;21;33;55;175
