;;1;3;5;10;Other
min;MLP-FL;23;49;58;78;152
min;CNN-FL;2;4;8;17;213
min;RNN-FL;8;23;29;42;188
mean;MLP-FL;0;7;13;21;209
mean;CNN-FL;0;0;0;1;229
mean;RNN-FL;1;2;10;19;211
max;MLP-FL;0;3;7;14;216
max;CNN-FL;0;0;0;1;229
max;RNN-FL;1;1;5;12;218
