model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Math;58;1775;951;253;2306;2548;1566.6;956.2684246591017;253;2548;2081;1507;589;2143;688.5;1401.7;740.1347512446636;589;2143;2826;2808;2826;2830;2825;2823.0;8.602325267042627;2808;2830
Math;59;2;2;1;2;2;1.8;0.4472135954999579;1;2;830.5;1552;859;818;2361;1284.1;677.347067610099;818;2361;3;3;3;3;3;3.0;0.0;3;3
Math;60;36;31;35;32;33;33.4;2.0736441353327724;31;36;1449;1839;1340;2041;1222;1578.2;347.3149867195483;1222;2041;74;47;43;95;45;60.8;22.91724241700995;43;95
Math;61;3;3;15;10;10;8.2;5.167204273105526;3;15;507;739;466;1276;948;787.2;334.9577585308333;466;1276;300;252;295;390;231;293.6;61.20702574051447;231;390
Math;62;14;626;237;5;347;245.8;258.16022156792474;5;626;35;545;532;825;550;497.4;286.0791848422391;35;825;31;82;231;2;177;104.6;97.04792630448112;2;231
Math;63;4;5;8;4;2;4.6;2.1908902300206643;2;8;1291;474;1207;1245.5;371;917.7;454.4916940935225;371;1291;11;16;17;13;12;13.8;2.588435821108957;11;17
Math;64;8;6;6;10;6;7.2;1.7888543819998317;6;10;75;139;266;3;362;169.0;144.8706319445042;3;362;129;124;126;102;112;118.6;11.304866208850063;102;129
Math;65;72;87;26;75;16;55.2;31.917080066948483;16;87;1675;2815;2532.5;1408;2511;2188.3;609.8579342765001;1408;2815;50;27;26;6;65;34.8;22.971721746530015;6;65
Math;66;600;141;149;97;152;227.8;209.24315998378538;97;600;338;96;18.5;169;410;206.3;164.06157380690945;18.5;410;975;509;1509;811;519;864.6;411.15787721993115;509;1509
Math;67;20;362;8;16;264;134.0;167.09278859364338;8;362;32;196;270;7;48;110.6;115.68405248779972;7;270;29;159;9;10;441;129.6;184.93458302870232;9;441
Math;68;53;102;48;158;117;95.6;46.02499321021134;48;158;68;443.5;147.5;273;1;186.6;175.71617739980573;1;443.5;126;107;125;147;131;127.2;14.324803663575986;107;147
Math;69;643;146.5;12;28;16;169.1;270.70334316369275;12;643;2659;590.5;2876;2744;1865;2146.9;955.5378328459841;590.5;2876;45;70;51;43;20;45.8;17.935997323817823;20;70
Math;70;1;7;6;1;1;3.2;3.0331501776206204;1;7;136.5;113;51.5;25;97;84.6;45.55683263792601;25;136.5;1;1;1;1;5;1.8;1.788854381999832;1;5
Math;71;2;2;2;2;2;2.0;0.0;2;2;189;184;605;133;266;275.4;190.27690348542043;133;605;56;58;104;70;119;81.4;28.49210416940104;56;119
Math;72;3;11;2;3;13;6.4;5.176871642217914;2;13;35;26;70;60;68;51.8;20.054924582256596;26;70;6;3;3;3;10;5.0;3.082207001484488;3;10
Math;73;5;6;1;10;25;9.4;9.289779329994873;1;25;85;78;91;14;106;74.8;35.52041666422284;14;106;27;17;25;40;29;27.6;8.294576541331088;17;40
Math;74;2420;2757.5;3299;1339;3680;2699.1;901.8348241224664;1339;3680;3050.5;956.5;27;485;2077;1319.2;1231.7550791452009;27;3050.5;4461;4574;4350;4410;4408;4440.6;84.28997567919924;4350;4574
Math;75;1;1;1;2;3;1.6;0.8944271909999159;1;3;26;89.5;127;99;44;77.1;41.322512024319145;26;127;10;9;7;4;3;6.6;3.0495901363953815;3;10
Math;76;96;54;57;66;75;69.6;16.890825912311097;54;96;2176;723;3909;2586;4787;2836.2;1574.8491038826546;723;4787;75;60;68;51;68;64.4;9.181503144910424;51;75
Math;77;7;4;2;2;6;4.2;2.2803508501982757;2;7;318;1180;623.5;344;133;519.7;408.6137540514269;133;1180;27;32;24;28;29;28.0;2.9154759474226504;24;32
Math;78;271;48;231;183;30;152.6;108.46796762178224;30;271;395;3;134.5;446;335;262.7;187.22232772829207;3;446;86;32;71;75;179;88.6;54.491283706662664;32;179
Math;79;128;98;102;15;14;71.4;53.20526289757433;14;128;137;25;206;9;4;76.2;90.68461832085968;4;206;17;25;35;34;31;28.4;7.46993975879324;17;35
Math;80;30;25;16;38;17;25.2;9.203260291874832;16;38;1026;3401;1520;3709;4331;2797.4;1441.9505192620168;1026;4331;49;26;31;35;53;38.8;11.670475568716128;26;53
Math;81;20;8;35;4;27;18.8;12.911235417263523;4;35;147.5;1094.5;60;241.5;1156.5;540.0;538.7719833101941;60;1156.5;25;14;18;12;8;15.4;6.465291950097845;8;25
Math;82;1785;987;598;315;1719;1080.8;657.940118855812;315;1785;1721;1687;632;437.5;869;1069.3;599.3306266160607;437.5;1721;376;1322;183;806;325;602.4;464.59154103362664;183;1322
Math;83;39;46;4;437;50;115.2;180.80846219134767;4;437;96;416;1518;4;231;453.0;615.2089076078141;4;1518;37;34;27;41;36;35.0;5.1478150704935;27;41
Math;84;113;62;18;50;43;57.2;35.09558376776201;18;113;47;132;39;35;15;53.6;45.38501955491481;15;132;103;19;59;43;65;57.8;30.906310035330975;19;103
Math;85;173;256;287;166;83;193.0;80.67527502277262;83;287;19;143;302;139.5;140;148.7;100.64268478135905;19;302;11;14;62;21;34;28.4;20.767763480933617;11;62
Math;86;72;552;39;112;477;250.4;243.91658410202453;39;552;1071;1156;407;643;1122.5;879.9;335.91710286914537;407;1156;212;95;59;64;204;126.8;75.4499834327351;59;212
Math;87;919;310;442;206;498;475.0;273.1025448435075;206;919;1623.5;410;24.5;139;480;535.4;636.5743672187876;24.5;1623.5;835;1376;1751;1700;647;1261.8;501.1274289040663;647;1751
Math;88;1;1;1;1;1;1.0;0.0;1;1;393;403;15;460;1675.5;589.3;632.3786049511796;15;1675.5;1;1;1;1;1;1.0;0.0;1;1
Math;89;1;1;3;1;1;1.4;0.8944271909999159;1;3;75.5;2;55;44.5;48;45.0;26.872383593570557;2;75.5;2;1;1;2;1;1.4;0.5477225575051661;1;2
Math;90;7;4;7;1;3;4.4;2.6076809620810595;1;7;79;94;72;88;22;71.0;28.653097563788805;22;94;4;4;2;2;1;2.6;1.3416407864998738;1;4
Math;91;1;1;2;2;1;1.4;0.5477225575051661;1;2;128;141;55;79;231;126.8;68.00882295702522;55;231;2;2;2;1;1;1.6;0.5477225575051661;1;2
Math;92;2;22;11;14;1;10.0;8.74642784226795;1;22;155.5;157.5;75.5;153.5;72.5;122.9;44.674377443899544;72.5;157.5;9;7;22;8;9;11.0;6.2048368229954285;7;22
Math;93;2;2;2;2;2;2.0;0.0;2;2;108;90;160.5;149;166;134.7;33.76684764676738;90;166;8;6;6;8;7;7.0;1.0;6;8
Math;94;194;76;210;172;181;166.6;52.628889404964646;76;210;160.5;60;49;155.5;180;121.0;61.51524201366682;49;180;40;32;37;33;33;35.0;3.391164991562634;32;40
Math;95;6;9;1;1;5;4.4;3.4351128074635335;1;9;15;90;21;44;266;87.2;104.20988436803871;15;266;9;8;3;3;7;6.0;2.8284271247461903;3;9
Math;96;7;16;8;5;10;9.2;4.207136793592526;5;16;37.5;103;95;90.5;47;74.6;30.05702912797604;37.5;103;4;12;5;8;13;8.4;4.03732584763727;4;13
Math;97;8;8;10;10;11;9.4;1.3416407864998738;8;11;163;99;153;91;157.5;132.7;34.71238971894618;91;163;7;9;5;5;5;6.2;1.7888543819998317;5;9
Math;98;2;6;8;11;13;8.0;4.301162633521313;2;13;48;262.5;214;633;267.5;285.0;213.96641091535838;48;633;2;9;9;6;9;7.0;3.082207001484488;2;9
Math;99;6;7;5;7;7;6.4;0.8944271909999159;5;7;60;3;129;94;90.5;75.3;47.23822604628587;3;129;19;15;18;23;23;19.6;3.4351128074635335;15;23
Math;100;19;27;9;12;121;37.6;47.13597352341415;9;121;262;205;195.5;208;2;174.5;99.88243088751895;2;262;10;4;8;7;10;7.8;2.4899799195977463;4;10
Math;101;6;33;12;10;22;16.6;10.89954127475097;6;33;11;33;100;37;4;37.0;37.914377220257755;4;100;34;16;43;8;20;24.2;14.11382301150188;8;43
Math;102;1;5;1;3;1;2.2;1.7888543819998317;1;5;128;541;102;4;5;156.0;222.39042245564443;4;541;1;3;1;1;1;1.4;0.8944271909999161;1;3
Math;103;78;169;23;148;129;109.4;58.90076400183617;23;169;188;177;174;172;166.5;175.5;7.968688725254614;166.5;188;187;173;93;65;132;130.0;51.710733895391584;65;187
Math;104;167;163;167;164;167;165.6;1.9493588689617927;163;167;23;51.5;44;45;12;35.1;16.77945171929047;12;51.5;159;165;165;158;157;160.8;3.8987177379235853;157;165
Math;105;37;20;9;7;21;18.8;11.966620241321273;7;37;41;33;30;20.5;39;32.7;8.136338242723197;20.5;41;44;40;40;19;46;37.8;10.825894882179487;19;46
Math;106;7;1;4;2;2;3.2;2.387467277262665;1;7;8;3;10;56.5;13;18.1;21.772689314827417;3;56.5;7;5;17;3;4;7.2;5.674504383644443;3;17
Mockito;1;2;2;1;2;2;1.8;0.4472135954999579;1;2;557;757.5;441;805;670.5;646.2;148.54233403309644;441;805;1;4;1;7;2;3.0;2.5495097567963922;1;7
Mockito;2;1;2;4;7;1;3.0;2.5495097567963922;1;7;365;442.5;785;404;81;415.5;250.91432800858544;81;785;7;4;2;4;16;6.6;5.549774770204643;2;16
Mockito;3;3;2;1;1;1;1.6;0.8944271909999159;1;3;1142;3242;1115;883.5;357;1347.9;1104.7400372938423;357;3242;14;8;5;5;19;10.2;6.1400325732035;5;19
Mockito;4;902;150;457;955;908;674.4;356.147862551497;150;955;297;11;891;705;1115;603.8;447.09864683311224;11;1115;148;148;439;100;27;172.4;157.04235097577978;27;439
Mockito;5;2431;1472.5;1724;1280;3822;2145.9;1033.4218886785782;1280;3822;1059;1550;1122;276.5;1274;1056.3;475.2748678396534;276.5;1550;2720;3084.5;3425;3792;3265;3257.3;397.6926577144718;2720;3792
Mockito;6;3;4;5;4;4;4.0;0.7071067811865476;3;5;534.5;3;510;617.5;294;391.8;247.99460679619628;3;617.5;99;36;221;65;276;139.4;103.89562069692832;36;276
Mockito;7;904;399;613;1716;1100;946.4;507.06932464900694;399;1716;110;547.5;530.5;409;1082;535.8;352.0949090799241;110;1082;571;413;495;994;958;686.2;270.6856109954868;413;994
Mockito;8;9;55;50;58;40;42.4;19.882152800941853;9;58;80;135;141.5;130;150;127.3;27.480902459708265;80;150;39;13;52;55;31;38.0;17.029386365926403;13;55
Mockito;9;1873;1347;1956;1043;1117;1467.2;424.450468252775;1043;1956;1588.5;737.5;1064;1174;366;986.0;461.13623258208634;366;1588.5;130;1693;1171;699;1142;967.0;585.6001195355069;130;1693
Mockito;10;11;38;15;16;20;20.0;10.559356040971437;11;38;195;26;20;362;131;146.8;141.02730232121723;20;362;42;47;21;63;18;38.2;18.780308836651223;18;63
Mockito;11;1;1;1;1;1;1.0;0.0;1;1;807;680;665.5;445;719.5;663.4;133.92787237912802;445;807;2;1;1;22;3;5.8;9.093954035511725;1;22
Mockito;12;16;2;4;88;2;22.4;37.13219627223792;2;88;343;405;1092.5;1136.5;126;620.6;462.8759823105969;126;1136.5;14;4;2;3;55;15.6;22.545509530724736;2;55
Mockito;13;37;25;35;22;16;27.0;8.860022573334675;16;37;1136.5;428.5;347.5;139;37;417.7;431.3711568939212;37;1136.5;301;259;211;29;398;239.6;136.38841593038612;29;398
Mockito;14;69;27;69;8;22;39.0;28.257742301889582;8;69;541.5;384;454.5;433;355;433.6;71.96822215394792;355;541.5;536;193;314;208;278;305.8;137.94999093874563;193;536
Mockito;15;621;435;641;389;828;582.8;176.33264020027602;389;828;859;371;907;297;589;604.6;276.4033284893653;297;907;532;122;230;410;412;341.2;163.2213221365395;122;532
Mockito;16;26;9;4;2;6;9.4;9.633275663033837;2;26;170;67;351;343;343;254.8;129.6850029880094;67;351;60;37;46;48;45;47.2;8.28854631404084;37;60
Mockito;17;4;1;1;1;1;1.6;1.3416407864998738;1;4;192;270;304;140;290.5;239.3;70.44111015593096;140;304;50;52;13;5;4;24.8;24.180570712867798;4;52
Mockito;18;10;4;15;7;14;10.0;4.636809247747852;4;15;83;277;710.5;321.5;278;334.0;229.83390742011937;83;710.5;262;23;144;1;25;91.0;110.82644088844503;1;262
Mockito;20;345;228;526;190;240;305.8;135.84623660595093;190;526;1060;1458;507;741.5;1072;967.7;361.66379415141904;507;1458;217;210;554;72;357;282.0;182.42669760755962;72;554
Mockito;21;1;1;2;2;2;1.6;0.5477225575051661;1;2;281;465;362;260;216.5;316.9;98.20157839872024;216.5;465;1;1;2;2;1;1.4;0.5477225575051661;1;2
Mockito;22;10;8;2;9;11;8.0;3.5355339059327378;2;11;608;713.5;623;853;704;700.3;97.46768695316413;608;853;176;332;582;482;132;340.8;192.96942763038916;132;582
Mockito;23;13;45;38;19;28;28.6;13.16434578701122;13;45;288;608.5;5.5;13.5;204;223.9;247.17842745676654;5.5;608.5;33;51;84;65;49;56.4;19.15202339179858;33;84
Mockito;24;1;1;1;1;1;1.0;0.0;1;1;254.5;2382.5;2072;2808;649;1633.2;1118.438006775521;254.5;2808;33;1;21;4;81;28.0;32.357379374726875;1;81
Mockito;25;31;32;35;49;40;37.4;7.3688533707762165;31;49;600.5;1193;186.5;255;705;588.0;403.72066456895664;186.5;1193;50;42;71;23;41;45.4;17.386776584519627;23;71
Mockito;26;54;28;12;11;28;26.6;17.401149387324963;11;54;1003;88.5;1053;155.5;205;501.0;483.17970259521456;88.5;1053;148;334;77;1052;510;424.2;389.3792495755263;77;1052
Mockito;27;78;34;32;40;62;49.2;20.029977533686854;32;78;210;251;1010;19;477.5;393.5;381.2338521170438;19;1010;40;19;36;12;25;26.4;11.631852818876277;12;40
Mockito;28;940;997;1210;928;900;995.0;125.26771331831678;900;1210;785;427;572;323;895;600.4;239.10834364362947;323;895;655;1205;524;437;153;594.8;387.6431348547269;153;1205
Mockito;29;864;1250;1267;811;1527;1143.8;300.974583644533;811;1527;710;1094.5;1135.5;1497;1142;1115.8;279.0677785055093;710;1497;641;1021;616;1329;1426;1006.6;376.25696006851484;616;1426
Mockito;30;7;7;8;4;3;5.8;2.16794833886788;3;8;142;109;228.5;247.5;234.5;192.3;62.464589969037654;109;247.5;16;34;136;46;15;49.4;50.1178610876402;15;136
Mockito;31;497;363;583;405;659;501.4;122.4369225356469;363;659;542.5;559;279;512.5;226.5;423.9;158.21717669077526;226.5;559;369;489;411;456;281;401.2;81.07527366589643;281;489
Mockito;32;2;22;3;196;20;48.6;82.92044380006658;2;196;976;951;442;65;480.5;582.9;383.59620696769144;65;976;321;124;144;368;57;202.8;134.33800653575295;57;368
Mockito;33;4;16;30;7;29;17.2;12.070625501605125;4;30;343;407;239;351.5;381.5;344.4;64.1418350220821;239;407;116;101;44;344;630;247.0;242.78797334299736;44;630
Mockito;34;1;2;3;1;4;2.2;1.3038404810405297;1;4;49;1457;563.5;139;265;494.7;571.9894666862318;49;1457;29;285;9;37;10;74.0;118.57065404222075;9;285
Mockito;35;24;55;49;19;29;35.2;15.880806024884254;19;55;411.5;376;332;396;434;389.9;38.71110951651993;332;434;56;62;87;21;41;53.4;24.562166028263874;21;87
Mockito;36;63;20;62;79;187;82.2;62.52759390860966;20;187;496;576.5;261;774;173;456.1;242.56865007663296;173;774;109;111;382;119;262;196.6;122.14049287603191;109;382
Mockito;37;3;3;3;1;1;2.2;1.0954451150103321;1;3;872.5;561;890.5;866.5;884.5;815.0;142.30688669210636;561;890.5;42;40;65;3;2;30.4;27.300183149568795;2;65
Mockito;38;1367;1367;1367;1366;1367;1366.8;0.4472135954999579;1366;1367;370.5;730;343;411;761;523.1;204.7518009688804;343;761;1230;1341;1230;787;1135;1144.6;212.7963815481833;787;1341
Time;5;9;7;7;8;8;7.8;0.8366600265340756;7;9;2095;2780;765;3347;2384;2274.2;965.4774466552806;765;3347;11;6;4;9;12;8.4;3.361547262794322;4;12
Time;11;795;165;1930;294;186;674.0;747.2954569646466;165;1930;3650.5;2620;1504;3685;3768.5;3045.6;981.7060023245249;1504;3768.5;979;71;396;253;192;378.2;355.66655732581887;71;979
Time;13;3902;4363;4390;4086.5;1940.5;3736.4;1024.0935870319665;1940.5;4390;3621.5;1070;3707.5;2444;1173.5;2403.3;1272.468300194547;1070;3707.5;1385;292;2139;909;860;1117.0;690.3343392878555;292;2139
Time;15;2;2;2;1;2;1.8;0.4472135954999579;1;2;17;40;45;53;95;50.0;28.495613697550013;17;95;5;8;8;4;7;6.4;1.816590212458495;4;8
Time;22;11;7;8;20;4;10.0;6.123724356957945;4;20;2371;1991;4447;3613;2555;2995.4;1010.1013810504369;1991;4447;36;43;27;22;40;33.6;8.848728722251575;22;43
Time;23;10;14;1;6;10;8.2;4.919349550499538;1;14;1023;1064;1443;1434;1225;1237.8;198.18602372518603;1023;1443;3;1;1;2;7;2.8;2.4899799195977463;1;7
Time;27;3770;1413;3695;3330;3945;3230.6;1040.497140793765;1413;3945;3237;1784;1905;4280;2508;2742.8;1034.8375234789276;1784;4280;640;999;840;704;311;698.8;256.87097928726786;311;999
