model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;12;2;3;2;7;2;3.2;2.16794833886788;2;7;1;16;27;8;6;11.6;10.16366075781753;1;27;2;4;6;3;1;3.2;1.9235384061671346;1;6
Lang;13;42;61;61;33;70;53.4;15.30686120666154;33;70;13;1;53;22;50;27.8;22.90633100258529;1;53;32;47;54;56;40;45.8;9.959919678390985;32;56
Lang;14;3;2;1;4;4;2.8;1.3038404810405297;1;4;471;452;420;726;515;516.8;121.89626737517436;420;726;23;20;28;29;26;25.2;3.7013511046643495;20;29
Lang;15;157;141;886;142.5;681;401.5;356.22394641573436;141;886;89;97;1642.5;625.5;583.5;607.5;632.7672360354951;89;1642.5;155;142;166;208;147;163.6;26.425366601052104;142;208
Lang;16;729;302;171;835;1211;649.6;420.0390458040776;171;1211;869;1449;739;1412.5;1217.5;1137.4;320.13735333447113;739;1449;45;36;63;46;51;48.2;9.884331034521255;36;63
Lang;17;28;97;8;254;43;86.0;99.55149421279421;8;254;127;103;377.5;17;18;128.5;147.7294825009551;17;377.5;1241;1230;1236;1239;1241;1237.4;4.61519230368573;1230;1241
Lang;18;60;15;20;11;50;31.2;22.241852440837746;11;60;385;98;359;376.5;346;312.9;121.08488757892125;98;385;112;40;74;42;82;70.0;30.033314835362415;40;112
Lang;19;13;3;9;4;3;6.4;4.449719092257398;3;13;1;3;1;15.5;17;7.5;8.04673846971554;1;17;3;7;7;5;7;5.8;1.7888543819998317;3;7
Lang;20;18;17;8;9;16;13.6;4.722287581247038;8;18;320.5;336.5;990;380.5;333.5;472.2;290.3406619817486;320.5;990;11;13;14;6;14;11.6;3.361547262794322;6;14
Lang;21;1;1;2;2;2;1.6;0.5477225575051661;1;2;143;99.5;76;276;305;179.9;104.2906994894559;76;305;1;1;1;1;1;1.0;0.0;1;1
Lang;22;24;14;21;41;25;25.0;9.924716620639604;14;41;78;67.5;58.5;70;46;64.0;12.232129822725067;46;78;26;25;36;24;26;27.4;4.878524367060187;24;36
Lang;23;91;188;28;62;79.5;89.7;59.88071475859319;28;188;382;307.5;27;307.5;242;253.2;135.81080590291776;27;382;112;272;62;60;44;110.0;94.08506789071261;44;272
Lang;24;56;23;628;329;415;290.2;253.69016535924288;23;628;1548;667;1174.5;644;1587;1124.1;457.1499207043571;644;1587;19;16;30;19;148;46.4;57.046472283568946;16;148
Lang;25;3;11;4;14;2;6.8;5.357238094391549;2;14;16;13;13;8;16;13.2;3.271085446759225;8;16;15;17;10;9;12;12.6;3.361547262794322;9;17
Lang;26;27;9;7;9;25;15.4;9.73652915571047;7;27;34;101;332;280;156;180.6;123.72873554675971;34;332;76;76;9;30;14;41.0;32.87856444554719;9;76
Lang;27;211;691;18;708;79;341.4;334.3131765276386;18;708;1105;991;1043;1008;331.5;895.7;318.40179019597235;331.5;1105;90;53;17;78;50;57.6;28.25420322713065;17;90
Lang;28;2;2;3;4;5;3.2;1.3038404810405297;2;5;21;14.5;2;17.5;1;11.2;9.15559937961464;1;21;1;8;5;14;14;8.4;5.683308895353129;1;14
