model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;12;3;1;3;5;4;3.2;1.4832396974191326;1;5;28;8;14;1;21;14.4;10.597169433391164;1;28;1;2;4;7;1;3.0;2.5495097567963922;1;7
Lang;13;56;63;47;42;59;53.4;8.677557259966655;42;63;18.5;5;22.5;50;22;23.6;16.376049584683113;5;50;45;53;50;48;52;49.6;3.209361307176242;45;53
Lang;14;2;3;1;4;4;2.8;1.3038404810405297;1;4;924.5;665;1155;959.5;497;840.2;259.2871477725034;497;1155;37;26;32;37;35;33.4;4.61519230368573;26;37
Lang;15;30;15;20;88;34;37.4;29.288222889072664;15;88;66;50;40.5;1052;155.5;272.8;437.97297291042975;40.5;1052;98;142;160;128;121;129.8;23.199137915017445;98;160
Lang;16;156;36;32;55;36;63.0;52.754146756439916;32;156;1099;1093;455;844;721;842.4;270.8612190772241;455;1099;45;44;60;67;68;56.8;11.64903429473877;44;68
Lang;17;9;14;12;13;14;12.4;2.073644135332772;9;14;328;371;5;880;77;332.2;344.16376915648743;5;880;1237;1225;1236;1242;1230;1234.0;6.59545297913646;1225;1242
Lang;18;34;22;51;53;59;43.8;15.319921670818033;22;59;373;341;250;367;341;334.4;49.40445324057336;250;373;27;27;69;26;98;49.4;32.7765159832463;26;98
Lang;19;7;7;17;3;5;7.8;5.403702434442518;3;17;2;7;19;15.5;9.5;10.6;6.758328195641286;2;19;2;8;10;4;7;6.2;3.1937438845342627;2;10
Lang;20;11;10;7;8;11;9.4;1.816590212458495;7;11;982;998;1024.5;1139;984;1025.5;65.67724111136216;982;1139;10;5;6;9;15;9.0;3.9370039370059056;5;15
Lang;21;1;2;1;2;2;1.6;0.5477225575051661;1;2;218;292;224.5;91.5;111;187.4;84.0947382420565;91.5;292;2;2;1;1;1;1.4;0.5477225575051661;1;2
Lang;22;30;13;24;28;19;22.8;6.906518659932803;13;30;45;62.5;78.5;75;73;66.8;13.567424221273543;45;78.5;31;27;38;29;25;30.0;5.0;25;38
Lang;23;198;198;61;214;213;176.8;65.19739258590025;61;214;297.5;193;108;236;78;182.5;90.37145567047152;78;297.5;96;235;6;21;26;76.8;95.0036841390901;6;235
Lang;24;36;43;56;53;83;54.2;17.963852593472257;36;83;512;1153;1207;851;992;943.0;278.5776372934482;512;1207;18;88;75;55;143;75.8;45.9314706927614;18;143
Lang;25;3;10;6;15;3;7.4;5.128352561983234;3;15;5.5;9;6;16;6.5;8.6;4.350287346831241;5.5;16;15;16;1;9;10;10.2;5.974947698515862;1;16
Lang;26;12;33;10;12;15;16.4;9.44986772394196;10;33;165;199;325.5;96.5;167;190.6;84.16605610339597;96.5;325.5;45;34;7;15;10;22.2;16.513630733427462;7;45
Lang;27;24;94;182;180;50;106.0;72.89718787443039;24;182;1406;1249;956;1177;623.5;1082.3;303.30998994428126;623.5;1406;62;128;76;140;73;95.8;35.51337776106351;62;140
Lang;28;2;5;4;5;3;3.8;1.3038404810405297;2;5;14.5;15.5;9.5;14;20;14.7;3.751666296460814;9.5;20;1;1;3;15;6;5.2;5.848076606885378;1;15
Lang;29;1;1;1;1;1;1.0;0.0;1;1;315.5;331;908;408;355.5;463.6;250.89076308226257;315.5;908;29;31;27;31;30;29.6;1.6733200530681511;27;31
Lang;30;3;7;3;3;3;3.8;1.7888543819998322;3;7;587;229;645;174;221;371.2;225.39121544550045;174;645;16;14;15;16;13;14.8;1.3038404810405297;13;16
Lang;31;1;2;3;3;3;2.4;0.8944271909999159;1;3;1620.5;1548.5;1538.5;1694;2018;1683.9;196.98902253679012;1538.5;2018;12;12;12;11;11;11.6;0.5477225575051662;11;12
Lang;32;20;23;37;3;18;20.2;12.153188881935474;3;37;447;286;374;914;180.5;440.3;282.90316364438206;180.5;914;60;49;33;64;34;48.0;14.33527118683145;33;64
