model;;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;MLP-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;CNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL;RNN-FL
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;12;3;2;2;5;3;3.0;1.224744871391589;2;5;9;30;10;9.5;8;13.3;9.364827814754525;8;30;3;4;4;4;3;3.6;0.5477225575051661;3;4
Lang;13;37;59;68;46;70;56.0;14.230249470757707;37;70;47;70;7;48;6.5;35.7;27.98124371789074;6.5;70;22;49;36;48;17;34.4;14.638989036132243;17;49
Lang;14;651;631;605;768;653;661.6;62.5443842403137;605;768;712;529;194.5;362;1018;563.1;318.81624801756885;194.5;1018;1248;875;990;887;1169;1033.8;167.96338886793157;875;1248
Lang;15;138;276;1490;267;901;614.4;572.4886898446117;138;1490;18;805;562;463.5;471;463.9;284.9781570576945;18;805;264;713;839;322;507;529.0;246.73568854140254;264;839
Lang;16;613;69;225;1119;471;499.4;405.63382501956124;69;1119;554;1344;636;939;264;747.4;411.13598723536717;264;1344;683;589;1048;278;246;568.8;328.5752577416626;246;1048
Lang;17;1149;1128;937;1060;1045;1063.8;83.40683425235609;937;1149;558;640;439;83.5;388;421.7;213.3347135372019;83.5;640;1240;1236;1240;1236;1235;1237.4;2.4083189157584592;1235;1240
Lang;18;76;5;28;5;23;27.4;29.091235793620044;5;76;75;75;436;42;334;192.4;179.98416597023197;42;436;335;95;66;30;243;153.8;129.6946413696418;30;335
Lang;19;8;6;18;2;8;8.4;5.8991524815010505;2;18;7.5;9.5;5.5;27;9;11.7;8.693388292259813;5.5;27;4;9;2;4;11;6.0;3.8078865529319543;2;11
Lang;20;222;120;127;57;409;187.0;137.3844969419767;57;409;190.5;63.5;924;190;391;351.8;340.6843480408221;63.5;924;50;457;944;44;122;323.4;386.12407332358856;44;944
Lang;21;87;8;17;105;202;83.8;78.48375628115667;8;202;244;126;198;225;305;219.6;65.46984038471454;126;305;158;81;38;44;15;67.2;56.01517651494102;15;158
Lang;22;64;6;103;164;60;79.4;58.55595614452897;6;164;122;82;76;134;179;118.6;41.98571185534431;76;179;40;48;29;54;19;38.0;14.159802258506296;19;54
Lang;23;67;205;279;250;223;204.8;81.95852609704497;67;279;84;63.5;68;50;62.5;65.6;12.264786993666055;50;84;116;280;290;245;170;220.2;74.90126834707141;116;290
Lang;24;189;102;1045;551;188.5;415.1;392.34653050587815;102;1045;1119;638;637;426;690;702.0;254.22922727334085;426;1119;92;192;514;210;1534;508.4;594.6484675840004;92;1534
Lang;25;2;10;4;5;2;4.6;3.286335345030997;2;10;16;5;19;7;7;10.8;6.260990336999411;5;19;1;4;12;2;4;4.6;4.33589667773576;1;12
Lang;26;144;63;80;173;86;109.2;46.9222761596238;63;173;369;58;66;151;182;165.2;125.84792409889008;58;369;407;162;222;344;175;262.0;108.30281621453803;162;407
Lang;27;225;555;31;1262;25;419.6;517.8221702476633;25;1262;873;1103;1678;984;535;1034.6;417.4078341382682;535;1678;402;77;389;380;753;400.2;239.51137760031358;77;753
Lang;28;10;2;11;4;17;8.8;5.974947698515862;2;17;24;23;11;6.5;43;21.5;14.19506956657839;6.5;43;4;3;2;6;23;7.6;8.734987120768983;2;23
Lang;29;889;329;113;579;379;457.8;292.535809773778;113;889;1140;356;881;618;600;719.0;299.83995731056257;356;1140;768;1041;807;574;983;834.6;185.5621189790632;574;1041
Lang;30;3;2;1;1;7;2.8;2.4899799195977463;1;7;738;291.5;364;220.5;968;516.4;321.8740825229643;220.5;968;29;42;124;15;15;45.0;45.56862956025779;15;124
Lang;31;98;111;19;812;99;227.8;328.62090621261456;19;812;968;579;546;954;1380;885.4;341.03929392373544;546;1380;1825;1104;896;1139;1714;1335.6;408.72888324658436;896;1825
Lang;32;124;45;123;77;251;124.0;78.39005038906404;45;251;574;179;159;367;532;362.2;192.72182024877202;159;574;1085;651.5;1139;803;459;827.5;287.5356499636176;459;1139
Lang;33;459;214;61;215;1005;390.8;371.76094469430217;61;1005;1223;906;1161;1036;1124;1090.0;123.14422438750427;906;1223;315;253;12;865;980;485.0;417.09651161331954;12;980
Lang;34;55;56;57;38;22;45.6;15.339491516996253;22;57;480;772;830;631;449;632.4;169.85081689529787;449;830;62;69;65;40;49;57.0;12.103718436910205;40;69
Lang;35;20;343;98;97;130;137.6;121.75097535543607;20;343;94;279;141.5;342;462;263.7;149.5148822024082;94;462;36;103;447;103;168;171.4;160.9791912018445;36;447
Lang;36;68;27;103;10;231;87.8;87.86182333641841;10;231;557;946;269;1430;808;802.0;435.68050220316263;269;1430;47;146;16;739;136;216.8;297.2317277815409;16;739
Lang;37;276;264;267;154;405;273.2;89.03763249323288;154;405;110;407;832;484;350;436.6;261.54884821004276;110;832;28;113;670;30;81;184.4;273.8143531665205;28;670
Lang;38;277;86;66;15;116;112.0;99.3000503524545;15;277;449;61.5;311;382;161;272.9;159.3558910112833;61.5;449;179;249;238;119;231;203.2;54.21438923385562;119;249
Lang;39;63;72;173;130.5;430;173.7;150.12811195775427;63;430;735;110;457;552;779;526.6;267.4795319272112;110;779;191;137;405;142;324;239.8;119.26315441073996;137;405
Lang;40;278;427;260;739;375;415.8;193.33313218380343;260;739;214;983;483;457;142.5;455.9;329.88831443383987;142.5;983;1064;683;83;977;752;711.8;384.7761687007136;83;1064
Lang;41;51;76;39;24;6;39.2;26.583829671437485;6;76;106;41.5;132;25;149;90.7;54.94497247246557;25;149;10;118;88;5;72;58.6;49.51565409039852;5;118
Lang;42;23;180;423;57;158;168.2;157.01496743941325;23;423;492;206;133;362;54;249.4;176.88075078990366;54;492;32;85;427;381;72;199.4;188.4948275152398;32;427
Lang;43;5;2;2;1;73;16.6;31.564220250150328;1;73;92;188;107;180;166;146.6;44.03180668562216;92;188;14;4;42;3;5;13.6;16.47118696390761;3;42
Lang;44;65;30;85;6;102;57.6;39.373849189531875;6;102;177;104;26;169;53;105.8;67.49592580296977;26;177;44;14;10;14;68;30.0;25.25866188063018;10;68
Lang;45;65;40;76;41;144;73.2;42.50529378795069;40;144;879;484;693;516;1174;749.2;285.12050084131096;484;1174;19;15;249;37;378;139.6;165.37774941025168;15;378
Lang;46;3;24;10;67;17;24.2;25.17339865810733;3;67;36.5;40;48;39.5;38;40.4;4.463742824133129;36.5;48;4;6;8;9;3;6.0;2.5495097567963922;3;9
Lang;47;479.5;271;15;3;21;157.9;211.76295710062232;3;479.5;250;412;33.5;148.5;267;222.2;141.2827838060958;33.5;412;22;505;10;192;369;219.6;216.5139718355377;10;505
Lang;48;24;45;177;58;40;68.8;61.6984602725222;24;177;201;201;187;74;126;157.8;56.16671612262907;74;201;215;212;225;216;207;215.0;6.59545297913646;207;225
Lang;49;30;78;52;107;108;75.0;34.19064199455752;30;108;28.5;92;51;27.5;159;71.6;55.411415791333106;27.5;159;6;7;11;13;7;8.8;3.0331501776206204;6;13
Lang;50;1;1;5;33;30;14.0;16.09347693943108;1;33;161;73.5;98.5;88.5;230;130.3;64.93708493611335;73.5;230;2;17;4;25;9;11.4;9.555103348473002;2;25
Lang;51;24;29;14;48;52;33.4;16.14930339054908;14;52;140;30;25;144;106;89.0;58.077534382926416;25;144;30;78;132;51;51;68.4;39.42461160239883;30;132
Lang;52;8;52;102;64;162;77.6;57.886095048811164;8;162;35.5;166;136;185;92;122.9;60.1647737467698;35.5;185;26;98;136;90;173;104.6;54.99818178812823;26;173
Lang;53;62;182;112;37;68;92.2;57.01052534400994;37;182;19.5;28;150;88;25;62.1;56.460605735326645;19.5;150;42;107;40;85;53;65.4;29.41598205057924;40;107
Lang;54;34;5;4;26;17;17.2;13.065221008463652;4;34;11;11;7.5;12;11.5;10.6;1.7818529681205462;7.5;12;48;15;18;9;20;22.0;15.116216457830975;9;48
Lang;55;6;11;8;9;8;8.4;1.816590212458495;6;11;7.5;24;45;1;9.5;17.4;17.569149097210147;1;45;30;13;28;17;15;20.6;7.829431652425353;13;30
Lang;56;176;129;246;64;242;171.4;77.30329876531789;64;246;279;219;165;70;77.5;162.1;90.20975557000473;70;279;225;457;281;63;98;224.8;157.58553233085834;63;457
Lang;57;4;3;2;2;7;3.6;2.073644135332772;2;7;16.5;155;40;18;8;47.5;61.24540799113024;8;155;6;6;9;5;8;6.8;1.6431676725154984;5;9
Lang;58;677;344;352;42;75;298.0;256.8744829678495;42;677;894;291;580;882;109.5;551.3;350.2045116785334;109.5;894;999;212;591;443;267;502.4;315.3312543976572;212;999
Lang;59;225;126;51;522;216;228.0;179.1103012112927;51;522;73;317;897;884;256;485.4;380.5762735641832;73;897;67;47;35;507;422;215.6;229.47723198609486;35;507
Lang;60;71;78;693;58;228;225.6;270.29853865679706;58;693;570;286;78;690;364;397.6;240.28483098189946;78;690;204;189;163;37;94;137.4;70.20897378540724;37;204
Lang;61;29;424;3;175;284;183.0;176.39586162946114;3;424;435;784;583;386;739;585.4;177.074278199856;386;784;521;608;425;629;755;587.6;123.51841967900981;425;755
Lang;62;66;6;29;31;86;43.6;31.957784654133963;6;86;61;31;217;117;43.5;93.9;76.26630973109948;31;217;8;7;57;9;92;34.6;38.47466699011182;7;92
Lang;63;14;2;6;6;6;6.8;4.381780460041329;2;14;532;434;137.5;320;157.5;316.2;171.4499198016727;137.5;532;4;7;5;1;8;5.0;2.7386127875258306;1;8
Lang;64;731;97;672;178;425;420.6;284.227549685107;97;731;775;663;396;624;117.5;515.1;261.51108963101353;117.5;775;1028;56;903;336;153;495.2;443.14749237697373;56;1028
Lang;65;19;3;55;23;23;24.6;18.88915032498815;3;55;53;31.5;17;162;119;76.5;61.71304562246138;17;162;33;42;8;23;35;28.2;13.179529581893277;8;42
Math;1;1633;385;29;1372;243;732.4;720.2671726519263;29;1633;168;554;1295;850;336.5;640.7;445.9301514811484;168;1295;355;640;31;921;891;567.6;376.78216518301394;31;921
Math;2;370;955;898;1162;375;752.0;360.0965148401189;370;1162;307.5;1765;291;344.5;1943;930.2;845.8769561821624;291;1943;1325;138;1969;1551;1171.5;1230.9;680.8210484407779;138;1969
Math;3;383;64;322;114;45;185.6;155.92722661549521;45;383;32.5;287;428;89;264;220.1;159.69204739122108;32.5;428;13;132;216;411;96;173.6;151.41102998130617;13;411
Math;4;114;84;261;70;12;108.2;93.11390873548378;12;261;313;526.5;2319;157;882;839.5;870.5894554840415;157;2319;1072;1098;466.5;1171;676;896.7;308.3313153087114;466.5;1171
Math;5;93;111;116;108;192;124.0;38.96793553679743;93;192;217;181;101;28.5;222;149.9;83.36246157593956;28.5;222;114;83;142;17;27;76.6;54.1507156000731;17;142
Math;7;276;23;368;38;208;182.6;150.10263155587913;23;368;1395;145.5;1579;337.5;2481;1187.6;958.8710419029245;145.5;2481;772;524;853;276;724;629.8;231.9918102002741;276;853
