model;;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;MLP-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;CNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS;RNN-FLS
train;;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max;1;2;3;4;5;mean;std;min;max
program;version;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lang;12;3;1;3;5;3;3.0;1.4142135623730951;1;5;1;2;4;3;17;5.4;6.580273550544841;1;17;2;2;4;6;1;3.0;2.0;1;6
Lang;13;55;65;39;41;66;53.2;12.814054783713077;39;66;44;62;37;10;15;33.6;21.384573879317774;10;62;59;57;46;43;32;47.4;11.013627921806693;32;59
Lang;14;281;379;385;1244;956;649.0;426.11442125325914;281;1244;98;979;771;1135;501;696.8;410.5060291883665;98;1135;1223;1146;961;833;1268;1086.2;183.79798693130454;833;1268
Lang;15;55;19;27;117;41;51.8;38.95125158451266;19;117;469.5;1022;1207;356.5;522;715.4;374.95123016200387;356.5;1207;821;1227;1558;290;559;891.0;508.4559961294586;290;1558
Lang;16;277;28;32;60;29;85.2;108.03101406540624;28;277;1195;647;870;999;1024;947.0;203.7559815072922;647;1195;480;768;1315;766;844;834.6;302.3884918445145;480;1315
Lang;17;1208;1229;1224;1192;1234;1217.4;17.227884373886425;1192;1234;700;186.5;1203;524;900;702.7;383.28540280057626;186.5;1203;1240;1235;1237;1238;1236;1237.2;1.9235384061671346;1235;1240
Lang;18;103;53;146;212;41;111.0;70.27446193319447;41;212;302;139;324;101;110;195.2;108.7276413797338;101;324;80;111;100;10;181;96.4;61.47601158175439;10;181
Lang;19;7;6;20;1;6;8.0;7.106335201775948;1;20;34;8.5;7;4;25;15.7;13.093891705677116;4;34;4;10;15;3;7;7.8;4.868264577855234;3;15
Lang;20;35;50;56;10;58;41.8;19.929877069364977;10;58;199;1001;126.5;1012;973;662.3;456.9657536402482;126.5;1012;260;369;366;471;122;317.6;132.37560198163405;122;471
Lang;21;2;2;2;15;2;4.6;5.813776741499453;2;15;30.5;244;246;99;45.5;133.0;105.36662184961611;30.5;246;39;95;21;18;69;48.4;33.01211898682058;18;95
