1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,27,10
0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,2,28,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,29,10
0.9411764705882353,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8823529411764706,0.9411764705882353,0.8823529411764706,17,30,10
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,31,10
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,32,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,33,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,34,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,35,10
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,36,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,37,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,38,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,39,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,40,10
0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,5,41,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,42,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,43,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,44,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45,10
0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,46,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,47,10
0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.33333333333333337,0.6666666666666667,0.6666666666666667,0.6666666666666667,3,48,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,49,10
0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,10,50,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,51,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,52,10
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,53,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,54,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,2,55,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,56,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,57,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,58,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,59,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,60,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,61,10
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,4,62,10
0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.8947368421052632,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9473684210526316,19,63,10
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,64,10
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.5,0.75,4,65,10
