version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
5,0.9965714285714286,0.9986285714285714,0.9965714285714286,0.9972571428571428,0.9974857142857143,0.9981714285714286,0.9995428571428572,0.9963428571428572,0.9990857142857142,0.9997714285714285,4375,437,10
11,0.990613266583229,0.9958281184814352,0.9979140592407175,0.9983312473925741,0.9987484355444305,0.9962453066332916,0.9989570296203588,0.9985398414685023,0.9989570296203588,0.9952023362536504,4794,479,10
13,0.9938020530699206,0.9969010265349603,0.9980631415843502,0.9970947123765252,0.9990315707921751,0.9990315707921751,0.9978694557427852,0.9926399380205307,0.99961262831687,0.9980631415843502,5163,516,10
15,0.9257142857142857,0.96,0.9371428571428572,0.9314285714285714,0.9942857142857143,0.9485714285714286,0.9028571428571428,0.96,0.9542857142857143,0.9885714285714285,175,17,10
22,0.9980607627666451,0.9943977591036415,0.9969834087481146,0.9993535875888817,0.9870717517776342,0.9997845291962939,0.9993535875888817,0.9995690583925878,0.9984917043740573,0.9967679379444085,4641,464,10
23,0.9861111111111112,0.9823232323232324,0.985479797979798,0.9949494949494949,0.9892676767676768,0.9993686868686869,0.9955808080808081,0.9867424242424242,0.9911616161616161,0.990530303030303,1584,158,10
27,0.9983184799058349,0.9998318479905834,0.9981503278964183,0.9949554397175047,0.9981503278964183,0.9976458718681688,0.9989910879435009,0.9991592399529174,0.9984866319152513,0.9978140238775853,5947,594,10
