version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt
1,0.9967880085653105,0.9964311206281228,0.9953604568165596,0.9942897930049964,0.9942897930049964,0.9957173447537473,0.9957173447537473,0.9978586723768736,0.9957173447537473,0.9964311206281228,2802
2,0.9942857142857143,0.9964285714285714,0.9971428571428571,0.9978571428571429,0.9942857142857143,0.9978571428571429,0.9971428571428571,0.9928571428571429,0.9942857142857143,0.995,1400
3,0.9964200477326969,0.9961217183770883,0.9964200477326969,0.9979116945107399,0.9979116945107399,0.9979116945107399,0.9967183770883055,0.9973150357995226,0.9964200477326969,0.9979116945107399,3352
4,0.994579945799458,0.9959349593495935,0.991869918699187,0.994579945799458,0.9968383017163505,0.996386630532972,0.995483288166215,0.994579945799458,0.996386630532972,0.9959349593495935,2214
5,0.9992944496707432,0.9995296331138288,0.998824082784572,0.9995296331138288,0.9992944496707432,0.9997648165569144,0.9995296331138288,0.9992944496707432,0.9990592662276576,0.9992944496707432,4252
6,0.9948,0.9916,0.9924,0.9908,0.9956,0.992,0.9944,0.9948,0.994,0.9916,2500
7,0.996268656716418,0.9957356076759062,0.996268656716418,0.996268656716418,0.9973347547974414,0.9984008528784648,0.9968017057569296,0.994136460554371,0.9968017057569296,0.996268656716418,1876
8,0.9740932642487047,0.9585492227979274,0.9792746113989638,0.9792746113989638,0.9844559585492227,0.9792746113989638,0.9740932642487047,0.9689119170984456,0.9896373056994818,0.9896373056994818,193
9,0.9964726631393298,0.9973544973544973,0.9977954144620811,0.996031746031746,0.9964726631393298,0.9951499118165785,0.9964726631393298,0.9947089947089947,0.996031746031746,0.9964726631393298,2268
10,0.9972222222222222,0.995,0.995,0.995,0.9972222222222222,0.9972222222222222,0.995,0.9983333333333333,0.9977777777777778,0.9983333333333333,1800
11,0.9874081846799581,0.9947534102833159,0.9947534102833159,0.9926547743966422,0.9947534102833159,0.9926547743966422,0.9905561385099685,0.9926547743966422,0.9958027282266527,0.9926547743966422,953
12,0.9993610223642172,0.9993610223642172,0.9987220447284345,0.997444089456869,0.997444089456869,0.9980830670926517,0.9955271565495207,0.997444089456869,0.9980830670926517,0.9968051118210862,1565
13,0.9975339087546239,0.9963008631319359,0.998766954377312,0.9969173859432799,0.9969173859432799,0.9950678175092479,0.9950678175092479,0.9944512946979038,0.9981504315659679,0.9981504315659679,1622
14,0.995135510771369,0.9944405837387075,0.995135510771369,0.9986101459346769,0.9965253648366922,0.9944405837387075,0.9958304378040306,0.9965253648366922,0.9972202918693537,0.9993050729673384,1439
15,0.99597747385358,0.995172968624296,0.996781979082864,0.999195494770716,0.9927594529364441,0.996781979082864,0.996781979082864,0.996781979082864,0.9943684633950121,0.997586484312148,1243
16,0.9983457402812241,0.9966914805624483,0.9950372208436724,0.9966914805624483,0.9950372208436724,0.9983457402812241,0.9966914805624483,0.9966914805624483,0.9975186104218362,0.9950372208436724,1209
17,0.9931506849315068,0.9941291585127201,0.9921722113502935,0.9882583170254403,0.9931506849315068,0.9941291585127201,0.9931506849315068,0.9843444227005871,0.9951076320939335,0.99706457925636,1022
18,0.9921645445641528,0.9960822722820764,0.9911851126346719,0.9970617042115573,0.9941234084231146,0.9951028403525954,0.9951028403525954,0.9931439764936337,0.9941234084231146,0.9911851126346719,1021
20,0.9931827865360034,0.9957392415850022,0.9944610140605028,0.9927567106945037,0.9927567106945037,0.9910524073285045,0.9944610140605028,0.9923306348530039,0.9970174691095015,0.9944610140605028,2347
21,0.9882978723404255,0.9914893617021276,0.9968085106382979,0.9946808510638298,0.9872340425531915,0.9946808510638298,0.9946808510638298,0.9957446808510638,0.9914893617021276,0.9957446808510638,940
22,0.9946294307196563,0.9967776584317938,0.9957035445757251,0.9957035445757251,0.9989258861439313,0.9967776584317938,0.9957035445757251,0.9924812030075187,0.9935553168635876,0.9989258861439313,931
23,0.9968831168831169,0.9963636363636363,0.9958441558441559,0.9963636363636363,0.9974025974025974,0.9948051948051948,0.9958441558441559,0.9963636363636363,0.9953246753246753,0.9963636363636363,1925
24,0.9961697112551562,0.995875073659399,0.9967589864466706,0.9964643488509134,0.997348261638185,0.9961697112551562,0.99469652327637,0.997348261638185,0.995875073659399,0.998526812021214,3394
25,0.9963592233009708,0.9975728155339806,0.9975728155339806,0.9987864077669902,0.997876213592233,0.9987864077669902,0.9993932038834952,0.9987864077669902,0.9987864077669902,0.9993932038834952,3296
26,0.9977034120734908,0.9957349081364829,0.9960629921259843,0.9970472440944882,0.9970472440944882,0.9963910761154856,0.9980314960629921,0.9970472440944882,0.9970472440944882,0.9983595800524935,3048
27,0.9940515532055518,0.9920687376074026,0.991407799074686,0.9947124917382684,0.9907468605419696,0.992729676140119,0.9947124917382684,0.992729676140119,0.9960343688037012,0.9907468605419696,1513
28,0.9952644041041832,0.9952644041041832,0.9952644041041832,0.994475138121547,0.9968429360694554,0.9976322020520916,0.9952644041041832,0.9968429360694554,0.9968429360694554,0.9976322020520916,1267
29,0.9987654320987654,0.9981481481481481,0.9993827160493827,0.9993827160493827,0.9993827160493827,0.9975308641975309,0.9975308641975309,0.9975308641975309,0.9993827160493827,0.9975308641975309,1620
30,0.9923076923076923,0.9961538461538462,0.9948717948717949,0.9910256410256411,0.9974358974358974,0.9923076923076923,0.9935897435897436,0.9961538461538462,0.9948717948717949,0.9935897435897436,780
31,0.9908496732026144,0.9934640522875817,0.9921568627450981,0.9947712418300654,0.9895424836601308,0.9947712418300654,0.9895424836601308,0.996078431372549,0.996078431372549,0.9921568627450981,765
32,0.9980793854033291,0.998719590268886,0.9974391805377721,0.9961587708066582,0.9974391805377721,0.9967989756722151,0.9967989756722151,0.9993597951344431,0.9980793854033291,0.9967989756722151,1562
33,0.9921311475409836,0.9940983606557378,0.9947540983606558,0.9901639344262295,0.9947540983606558,0.9954098360655738,0.9960655737704918,0.9954098360655738,0.9947540983606558,0.9967213114754099,1525
34,0.9947941315664931,0.9952673923331756,0.995740653099858,0.995740653099858,0.9962139138665405,0.9943208707998107,0.995740653099858,0.9952673923331756,0.9952673923331756,0.9971604353999054,2113
35,0.9963609898107715,0.9985443959243085,0.9963609898107715,0.9970887918486172,0.9970887918486172,0.9985443959243085,0.9978165938864629,0.9978165938864629,0.9970887918486172,0.9941775836972343,1374
36,0.9911547911547911,0.9945945945945946,0.9941031941031941,0.9906633906633907,0.9921375921375921,0.9955773955773956,0.9911547911547911,0.9921375921375921,0.9931203931203931,0.9965601965601966,2035
37,0.994331983805668,0.9951417004048583,0.994331983805668,0.994331983805668,0.9870445344129555,0.9975708502024292,0.9910931174089069,0.9975708502024292,0.9919028340080972,0.9910931174089069,1235
38,0.9941648431801605,0.9919766593727206,0.9941648431801605,0.9934354485776805,0.9919766593727206,0.9948942377826404,0.9948942377826404,0.9897884755652808,0.9948942377826404,0.987600291757841,1371
