version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.9326506498621504,0.9314690823158724,0.9306813706183537,0.9334383615596692,0.9168964159117763,0.9279243796770382,0.929893658920835,0.9322567940133911,0.9302875147695944,0.9267428121307602,2539,50,50
2,0.9424842919284678,0.9250845819236346,0.9366843885935234,0.929434509424843,0.9337844369260513,0.9270178830352828,0.9284678588690188,0.929434509424843,0.930884485258579,0.9328177863702272,2069,41,50
3,0.7375745526838966,0.7673956262425448,0.7594433399602386,0.7256461232604374,0.7375745526838966,0.7216699801192843,0.7693836978131212,0.7395626242544732,0.7355864811133201,0.7534791252485089,503,10,50
4,0.947602413464592,0.944109241028898,0.9428389965068276,0.9453794855509685,0.9418863131152747,0.9466497300730391,0.9479199745951096,0.9402985074626866,0.944109241028898,0.9466497300730391,3149,62,50
5,0.6623376623376623,0.6580086580086579,0.6666666666666667,0.6753246753246753,0.6147186147186148,0.6363636363636364,0.6060606060606061,0.6363636363636364,0.6060606060606061,0.6190476190476191,231,4,50
7,0.9424854501882917,0.9462512838069155,0.952755905511811,0.9411160561451558,0.9438548442314276,0.9452242382745635,0.9483053748716193,0.9428277986990756,0.9486477233824033,0.9462512838069155,2921,58,50
8,0.868448098663926,0.8787255909558068,0.8602261048304214,0.8643371017471737,0.8643371017471737,0.8550873586844809,0.868448098663926,0.8643371017471737,0.8520041109969168,0.8561151079136691,973,19,50
9,0.9477093937991671,0.950948634891254,0.9426191577973161,0.945395650161962,0.950023137436372,0.9467838963442851,0.949560388708931,0.950485886163813,0.949560388708931,0.9416936603424341,2161,43,50
10,0.9142231947483589,0.9168490153172867,0.9221006564551423,0.9199124726477024,0.9229759299781182,0.9304157549234136,0.9299781181619255,0.925164113785558,0.9286652078774618,0.9238512035010941,2285,45,50
12,0.9226265161020494,0.9192806357172731,0.9226265161020494,0.9217900460058552,0.9234629861982434,0.9205353408615642,0.9222082810539524,0.9230447511501464,0.9238812212463404,0.9159347553324969,2391,47,50
15,0.9528466643381068,0.9493538246594482,0.9556409360810338,0.9584352078239609,0.9528466643381068,0.9535452322738386,0.9549423681453021,0.9507509605309117,0.9444638491093259,0.949703108627314,2863,57,50
16,0.9449122807017544,0.9392982456140351,0.9452631578947368,0.9424561403508772,0.9343859649122807,0.9421052631578948,0.9424561403508772,0.9417543859649122,0.9459649122807018,0.9403508771929825,2850,57,50
17,0.9046434494195689,0.9054726368159204,0.900497512437811,0.9021558872305141,0.9046434494195689,0.906301824212272,0.906301824212272,0.8980099502487562,0.8880597014925373,0.9038142620232172,1206,24,50
19,0.9559346126510305,0.9559346126510305,0.9641080312722103,0.9591329068941009,0.9605543710021321,0.9669509594882729,0.9580668088130775,0.9587775408670931,0.9662402274342573,0.9598436389481165,2814,56,50
21,0.9686456400742115,0.9666048237476809,0.9705009276437848,0.9690166975881261,0.9717996289424861,0.9686456400742115,0.9708719851576995,0.9716141001855287,0.9727272727272728,0.9710575139146568,5390,107,50
