version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt
2,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9992469879518072,0.9977409638554217,0.9992469879518072,1328
3,0.9988095238095238,0.9976190476190476,0.9976190476190476,0.9988095238095238,0.9976190476190476,0.9976190476190476,0.9988095238095238,0.9940476190476191,0.9952380952380953,0.9976190476190476,840
5,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9929577464788732,0.9964788732394366,0.9964788732394366,0.9964788732394366,0.9612676056338029,284
6,0.9985207100591716,0.9985207100591716,0.9985207100591716,0.9970414201183432,0.9955621301775148,0.9985207100591716,0.9985207100591716,0.9985207100591716,0.9985207100591716,0.9985207100591716,676
7,0.9958419958419958,0.997920997920998,0.997920997920998,0.9896049896049897,0.9958419958419958,0.997920997920998,0.997920997920998,0.9958419958419958,0.997920997920998,0.997920997920998,481
8,0.9948717948717949,0.9794871794871794,0.9487179487179487,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9948717948717949,0.9948717948717949,195
9,0.9989506820566632,0.9989506820566632,0.9947534102833159,0.9989506820566632,0.9979013641133263,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9989506820566632,0.9979013641133263,953
10,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9433962264150944,53
11,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9948186528497409,0.9844559585492227,0.9948186528497409,193
12,0.9997706947947719,0.9997706947947719,0.9997706947947719,0.9990827791790874,0.9997706947947719,0.9997706947947719,0.9997706947947719,0.9997706947947719,0.9997706947947719,0.9997706947947719,4361
13,0.9966139954853274,0.9988713318284425,0.9977426636568849,0.9988713318284425,0.9988713318284425,0.9977426636568849,0.9966139954853274,0.9977426636568849,0.9988713318284425,0.9977426636568849,886
14,0.9998416468725257,0.9993665874901029,0.9998416468725257,0.9998416468725257,0.9998416468725257,0.9995249406175772,0.9998416468725257,0.9998416468725257,0.9998416468725257,0.9998416468725257,6315
16,0.9865771812080537,0.9966442953020134,0.9966442953020134,0.9932885906040269,0.9966442953020134,0.9966442953020134,0.9966442953020134,0.9966442953020134,0.9966442953020134,0.9597315436241611,298
17,0.9972067039106145,0.9990689013035382,0.9990689013035382,0.9972067039106145,0.9990689013035382,0.9962756052141527,0.9990689013035382,0.9990689013035382,0.994413407821229,0.9981378026070763,1074
18,0.9974489795918368,0.9974489795918368,0.9948979591836735,0.9974489795918368,0.9974489795918368,0.9974489795918368,0.9948979591836735,0.9974489795918368,0.9948979591836735,0.9974489795918368,392
19,0.9993322946806142,0.9997774315602047,0.9997774315602047,0.9997774315602047,0.9995548631204095,0.9993322946806142,0.9995548631204095,0.9997774315602047,0.9997774315602047,0.9995548631204095,4493
20,0.9980657640232108,0.9980657640232108,0.9980657640232108,0.9980657640232108,0.9961315280464217,0.9980657640232108,0.9941972920696325,0.9980657640232108,0.9980657640232108,0.9980657640232108,517
21,0.9983193277310924,0.9983193277310924,0.9983193277310924,0.9647058823529412,0.9983193277310924,0.9983193277310924,0.9983193277310924,0.9983193277310924,0.9983193277310924,0.9983193277310924,595
22,0.991869918699187,0.9959349593495935,0.9878048780487805,0.9959349593495935,0.983739837398374,0.9959349593495935,0.983739837398374,0.9959349593495935,0.9959349593495935,0.9878048780487805,246
23,0.9997851772287862,0.9997851772287862,0.9995703544575725,0.9997851772287862,0.9997851772287862,0.9995703544575725,0.9995703544575725,0.9997851772287862,0.9989258861439313,0.9997851772287862,4655
24,0.96,0.96,0.96,0.88,0.96,0.88,0.96,0.88,0.96,0.96,25
