version,1_2,1_3,1_4,1_5,2_3,2_4,2_5,3_4,3_5,4_5,num_stmt,num_buckets,bucket_size
1,0.989650249821556,0.9903640256959315,0.9914346895074947,0.9925053533190579,0.9903640256959315,0.9928622412562456,0.9900071377587437,0.989650249821556,0.9910778015703069,0.9921484653818701,2802,560,5
2,0.9914285714285714,0.9885714285714285,0.9878571428571429,0.9878571428571429,0.99,0.985,0.9864285714285714,0.9871428571428571,0.9928571428571429,0.9914285714285714,1400,280,5
3,0.9955250596658711,0.9955250596658711,0.9934367541766109,0.9955250596658711,0.9943317422434368,0.9943317422434368,0.9934367541766109,0.9937350835322196,0.9958233890214797,0.9940334128878282,3352,670,5
4,0.99096657633243,0.991869918699187,0.9914182475158085,0.993676603432701,0.991869918699187,0.992773261065944,0.9905149051490515,0.99096657633243,0.9914182475158085,0.9941282746160794,2214,442,5
5,0.9978833490122295,0.9971777986829727,0.9967074317968015,0.9978833490122295,0.9967074317968015,0.9952963311382879,0.9974129821260583,0.996472248353716,0.9969426152398871,0.9962370649106302,4252,850,5
6,0.9944,0.9956,0.9956,0.9948,0.994,0.9956,0.9948,0.9944,0.9928,0.996,2500,500,5
7,0.9909381663113006,0.9909381663113006,0.9920042643923241,0.9888059701492538,0.9909381663113006,0.9872068230277186,0.9914712153518124,0.9872068230277186,0.9925373134328358,0.9877398720682303,1876,375,5
8,0.927461139896373,0.9015544041450777,0.9015544041450777,0.9015544041450777,0.9222797927461139,0.9222797927461139,0.9378238341968912,0.9326424870466321,0.8963730569948186,0.9222797927461139,193,38,5
9,0.9929453262786596,0.9942680776014109,0.9938271604938271,0.9894179894179894,0.9947089947089947,0.9898589065255732,0.9911816578483246,0.9916225749559083,0.9929453262786596,0.9929453262786596,2268,453,5
10,0.9894444444444445,0.9938888888888889,0.9872222222222222,0.9916666666666667,0.9888888888888889,0.9894444444444445,0.9905555555555555,0.9883333333333333,0.9916666666666667,0.9911111111111112,1800,360,5
11,0.9895068205666316,0.9811122770199371,0.9884575026232949,0.9821615949632738,0.9874081846799581,0.9874081846799581,0.9895068205666316,0.9884575026232949,0.9832109129066107,0.9853095487932844,953,190,5
12,0.9891373801916933,0.9916932907348243,0.9859424920127795,0.9904153354632588,0.9891373801916933,0.9929712460063898,0.9884984025559106,0.9865814696485623,0.9884984025559106,0.9904153354632588,1565,313,5
13,0.9919852034525277,0.9956843403205918,0.9889025893958077,0.9889025893958077,0.9932182490752158,0.9901356350184957,0.9919852034525277,0.9901356350184957,0.9944512946979038,0.9919852034525277,1622,324,5
14,0.9881862404447533,0.9916608756080612,0.9916608756080612,0.9944405837387075,0.9965253648366922,0.9937456567060459,0.990271021542738,0.9937456567060459,0.9923558026407228,0.9923558026407228,1439,287,5
15,0.9927594529364441,0.9863234111021721,0.9879324215607401,0.9863234111021721,0.9839098954143202,0.9887369267900241,0.9871279163314561,0.9895414320193081,0.9814963797264682,0.9871279163314561,1243,248,5
16,0.9826302729528535,0.9867659222497932,0.9875930521091811,0.9917287014061208,0.9875930521091811,0.9900744416873449,0.9875930521091811,0.9909015715467329,0.9909015715467329,0.989247311827957,1209,241,5
